pole_2,poles,poly_type,remainder,res_2,residues,sigma
,,0_0,,,,0.01
,,0_1,,,,0.01
,,0_2,,,,0.01
,2.0418324118451343,1_0,0.0,,-2.0418324118451343,0.01
,1.9442425093538935,1_1,0.04779525583250576,,-1.8513169412188917,0.01
-42.62706631993892,1.9484994729004177,2_0,0.04180151370706088,1.8633261244893675,-1.8633261244893675,0.01
,,0_0,,,,2.05061224489796
,,0_1,,,,2.05061224489796
,,0_2,,,,2.05061224489796
,12.793498983644493,1_0,0.0,,-12.793498983644493,2.05061224489796
,10.229512394672511,1_1,0.20041324052550752,,-8.179382666660349,2.05061224489796
-61.63657225107124,10.594473596064695,2_0,0.1251612971030895,9.040531389340263,-9.040531389340263,2.05061224489796
,,0_0,,,,4.09122448979592
,,0_1,,,,4.09122448979592
,,0_2,,,,4.09122448979592
,24.77781519952179,1_0,0.0,,-24.77781519952179,4.09122448979592
,18.124763943543478,1_1,0.26850838955755546,,-13.258112765951767,4.09122448979592
-86.77594652386827,19.274279356562182,2_0,0.1487148416518335,15.771242548949385,-15.771242548949385,4.09122448979592
,,0_0,,,,6.13183673469388
,,0_1,,,,6.13183673469388
,,0_2,,,,6.13183673469388
,40.78261630809811,1_0,0.0,,-40.78261630809811,6.13183673469388
,28.044909549093557,1_1,0.3123317705459534,,-19.285593294824054,6.13183673469388
-120.24592594838819,30.453877255835128,2_0,0.16124549639815894,24.29966457476986,-24.29966457476986,6.13183673469388
,,0_0,,,,8.17244897959184
,,0_1,,,,8.17244897959184
,,0_2,,,,8.17244897959184
,61.27892057460744,1_0,0.0,,-61.27892057460744,8.17244897959184
,40.314865600029385,1_1,0.3421087509048761,,-26.52279728670537,8.17244897959184
-162.32782339692923,44.48557150072154,2_0,0.16883201826288335,34.916722864369085,-34.916722864369085,8.17244897959184
,,0_0,,,,10.2130612244898
,,0_1,,,,10.2130612244898
,,0_2,,,,10.2130612244898
,86.537119238886,1_0,0.0,,-86.537119238886,10.2130612244898
,55.118134724191115,1_1,0.3630694526352639,,-35.106423719602326,10.2130612244898
-213.37947986547798,61.56793437706617,2_0,0.17378326640393213,47.78125973638434,-47.78125973638434,10.2130612244898
,,0_0,,,,12.2536734693878
,,0_1,,,,12.2536734693878
,,0_2,,,,12.2536734693878
,116.72904951443311,1_0,0.0,,-116.72904951443311,12.2536734693878
,72.58443941954741,1_1,0.37818015548415307,,-45.13444483413287,12.2536734693878
-273.76663207227483,81.8357801569397,2_0,0.17717169640389946,63.00268261996871,-63.00268261996871,12.2536734693878
,,0_0,,,,14.294285714285701
,,0_1,,,,14.294285714285701
,,0_2,,,,14.294285714285701
,151.96723415101502,1_0,0.0,,-151.96723415101502,14.294285714285701
,92.7930190621172,1_1,0.3893879849790146,,-56.66053234940009,14.294285714285701
-343.67813813419406,105.37335565068186,2_0,0.17959342239425855,80.64669460008001,-80.64669460008001,14.294285714285701
,,0_0,,,,16.3348979591837
,,0_1,,,,16.3348979591837
,,0_2,,,,16.3348979591837
,192.3266657587252,1_0,0.0,,-192.3266657587252,16.3348979591837
,115.80453826414507,1_1,0.397875807770606,,-69.7287140587963,16.3348979591837
-423.29920680116,132.24220860610572,2_0,0.1813780241541269,100.76300426235687,-100.76300426235687,16.3348979591837
,,0_0,,,,18.375510204081603
,,0_1,,,,18.375510204081603
,,0_2,,,,18.375510204081603
,237.85811699299475,1_0,0.0,,-237.85811699299475,18.375510204081603
,141.67654086197746,1_1,0.4043653306725284,,-84.38745956778399,18.375510204081603
-512.8629344905412,162.49525923424446,2_0,0.18271477248661305,123.39791871339416,-123.39791871339416,18.375510204081603
,,0_0,,,,20.416122448979607
,,0_1,,,,20.416122448979607
,,0_2,,,,20.416122448979607
,288.5965100238601,1_0,0.0,,-288.5965100238601,20.416122448979607
,170.4240635449051,1_1,0.40947288818283,,-100.64003002931864,20.416122448979607
-612.3556892987007,196.15215430712243,2_0,0.18375043015796816,148.56366404866125,-148.56366404866125,20.416122448979607
,,0_0,,,,22.456734693877607
,,0_1,,,,22.456734693877607
,,0_2,,,,22.456734693877607
,344.5662501292301,1_0,0.0,,-344.5662501292301,22.456734693877607
,202.07609933548386,1_1,0.4135348448674389,,-118.51059094536735,22.456734693877607
-721.894815284008,233.23925978841098,2_0,0.18456395962834954,176.2833268713269,-176.2833268713269,22.456734693877607
,,0_0,,,,24.4973469387755
,,0_1,,,,24.4973469387755
,,0_2,,,,24.4973469387755
,405.7846642237258,1_0,0.0,,-405.7846642237258,24.4973469387755
,236.68791368844384,1_1,0.4167154785377792,,-138.05639647165538,24.4973469387755
-841.7833764096127,273.7989220788964,2_0,0.18519482640879428,206.60007011330313,-206.60007011330313,24.4973469387755
,,0_0,,,,26.5379591836735
,,0_1,,,,26.5379591836735
,,0_2,,,,26.5379591836735
,472.26424441950815,1_0,0.0,,-472.26424441950815,26.5379591836735
,274.23394076949603,1_1,0.4193209754708925,,-159.24189721880398,26.5379591836735
-971.8123810217108,317.81709623650636,2_0,0.18570764407415927,239.49405195021302,-239.49405195021302,26.5379591836735
,,0_0,,,,28.5785714285714
,,0_1,,,,28.5785714285714
,,0_2,,,,28.5785714285714
,544.0141311427783,1_0,0.0,,-544.0141311427783,28.5785714285714
,314.62840140797795,1_1,0.4216539913272903,,-181.9640801693792,28.5785714285714
-1111.4146025485263,365.23786076651487,2_0,0.18616382798957545,274.8992751809642,-274.8992751809642,28.5785714285714
,,0_0,,,,30.6191836734694
,,0_1,,,,30.6191836734694
,,0_2,,,,30.6191836734694
,621.0411070488992,1_0,0.0,,-621.0411070488992,30.6191836734694
,357.9769336821828,1_1,0.4235857665151359,,-206.3429998336774,30.6191836734694
-1261.2458887113362,416.13502337872785,2_0,0.18653942744120444,312.89767494208587,-312.89767494208587,30.6191836734694
,,0_0,,,,32.6597959183673
,,0_1,,,,32.6597959183673
,,0_2,,,,32.6597959183673
,703.3502725224004,1_0,0.0,,-703.3502725224004,32.6597959183673
,404.1634988315418,1_1,0.42537379365461175,,-232.24293807684762,32.6597959183673
-1420.5682567437796,470.430977812798,2_0,0.18688537316691128,353.40009760844964,-353.40009760844964,32.6597959183673
,,0_0,,,,34.7004081632653
,,0_1,,,,34.7004081632653
,,0_2,,,,34.7004081632653
,790.9455110503094,1_0,0.0,,-790.9455110503094,34.7004081632653
,453.2246350034753,1_1,0.4269837445545005,,-259.7050832253448,34.7004081632653
-1589.6080959783994,528.1516804037178,2_0,0.1871954727715548,396.43504255643273,-396.43504255643273,34.7004081632653
,,0_0,,,,36.741020408163294
,,0_1,,,,36.741020408163294
,,0_2,,,,36.741020408163294
,883.8298143655428,1_0,0.0,,-883.8298143655428,36.741020408163294
,505.4282816014849,1_1,0.4281384567635266,,-289.034997111984,36.741020408163294
-1770.0056143649647,589.4803108866837,2_0,0.1874170793681304,442.2079609208747,-442.2079609208747,36.741020408163294
,,0_0,,,,38.7816326530612
,,0_1,,,,38.7816326530612
,,0_2,,,,38.7816326530612
,982.005512669048,1_0,0.0,,-982.005512669048,38.7816326530612
,560.8709349851417,1_1,0.42885154131088427,,-320.340570040287,38.7816326530612
-1962.327187880392,654.4831417316719,2_0,0.18755359562471374,490.79218638663497,-490.79218638663497,38.7816326530612
,,0_0,,,,40.8222448979592
,,0_1,,,,40.8222448979592
,,0_2,,,,40.8222448979592
,1085.4744395673797,1_0,0.0,,-1085.4744395673797,40.8222448979592
,619.4011232733012,1_1,0.4293729076474926,,-353.4470619733209,40.8222448979592
-2165.6290792132722,723.0575702958563,2_0,0.18765324689766405,542.0714290503223,-542.0714290503223,40.8222448979592
,,0_0,,,,42.8628571428571
,,0_1,,,,42.8628571428571
,,0_2,,,,42.8628571428571
,1194.23805139006,1_0,0.0,,-1194.23805139006,42.8628571428571
,681.5400478034821,1_1,0.42930972010966456,,-388.94828063744177,42.8628571428571
-2383.0839869071483,795.5586738781614,2_0,0.18764117681332929,596.4442495388076,-596.4442495388076,42.8628571428571
,,0_0,,,,44.903469387755095
,,0_1,,,,44.903469387755095
,,0_2,,,,44.903469387755095
,1308.297516234952,1_0,0.0,,-1308.297516234952,44.903469387755095
,747.1924282358342,1_1,0.4288818720789736,,-426.73514081081566,44.903469387755095
-2614.108952322377,871.9219379496932,2_0,0.1875593966260388,653.8378503991622,-653.8378503991622,44.903469387755095
,,0_0,,,,46.9440816326531
,,0_1,,,,46.9440816326531
,,0_2,,,,46.9440816326531
,1427.6537778230145,1_0,0.0,,-1427.6537778230145,46.9440816326531
,800.3243911596002,1_1,0.4394128299229591,,-448.65158558379096,46.9440816326531
-2762.5887601325844,941.2391393217423,2_0,0.18954599876683412,702.0457584625356,-702.0457584625356,46.9440816326531
,,0_0,,,,48.984693877551
,,0_1,,,,48.984693877551
,,0_2,,,,48.984693877551
,1552.3076041313534,1_0,0.0,,-1552.3076041313534,48.984693877551
,887.8615225649536,1_1,0.4280376388017589,,-507.8233728633162,48.984693877551
-3109.696056454581,1035.4356595174854,2_0,0.18739775767101824,776.7883888241855,-776.7883888241855,48.984693877551
,,0_0,,,,51.025306122448995
,,0_1,,,,51.025306122448995
,,0_2,,,,51.025306122448995
,1682.2596272383967,1_0,0.0,,-1682.2596272383967,51.025306122448995
,962.3175935007463,1_1,0.4279613099432873,,-550.4828956046949,51.025306122448995
-3370.8138015815166,1122.2049410556187,2_0,0.18738312589080144,841.9158966813047,-841.9158966813047,51.025306122448995
,,0_0,,,,53.065918367346896
,,0_1,,,,53.065918367346896
,,0_2,,,,53.065918367346896
,1817.5103677983825,1_0,0.0,,-1817.5103677983825,53.065918367346896
,1039.1293769602769,1_1,0.4282677032434139,,-594.1038253167393,53.065918367346896
-3638.40401782442,1212.049265666823,2_0,0.18744184188981514,909.1778974581,-909.1778974581,53.065918367346896
,,0_0,,,,55.1065306122449
,,0_1,,,,55.1065306122449
,,0_2,,,,55.1065306122449
