solution variable
x	solution variable
0.5	1.41047645716399e-23
1.5	1.67165170149888e-23
2.5	2.55575383588508e-23
3.5	3.7244411196852e-23
4.5	5.30573875250433e-23
5.5	7.47154697284838e-23
6.5	1.04555555488203e-22
7.5	1.45774047024604e-22
8.5	2.02754773018008e-22
9.5	2.81515323461145e-22
10.5	3.90315134579545e-22
11.5	5.404838924086e-22
12.5	7.47549406837009e-22
13.5	1.03277186140803e-21
14.5	1.42522869864403e-21
15.5	1.96464459895194e-21
16.5	2.70522837225995e-21
17.5	3.72086884882997e-21
18.5	5.11216265555377e-21
19.5	7.01590820859641e-21
20.5	9.61791573158014e-21
21.5	1.31702703235309e-20
22.5	1.80145674261476e-20
23.5	2.46131482926692e-20
24.5	3.35910378139754e-20
25.5	4.57921816535231e-20
26.5	6.23547641099597e-20
27.5	8.48119542679268e-20
28.5	1.15226495987874e-19
29.5	1.56370284209378e-19
30.5	2.11963660931868e-19
31.5	2.86993886314642e-19
32.5	3.88138441368637e-19
33.5	5.24326950605269e-19
34.5	7.07486162133679e-19
35.5	9.5352634875811e-19
36.5	1.2836456794104e-18
37.5	1.72605282522418e-18
38.5	2.31823894599253e-18
39.5	3.1099703590807e-18
40.5	4.16722533509729e-18
41.5	5.57736607318115e-18
42.5	7.45592444492126e-18
43.5	9.95549326935922e-18
44.5	1.3277360988177e-17
45.5	1.76867159583152e-17
46.5	2.35324890257356e-17
47.5	3.12732146680304e-17
48.5	4.15106909417516e-17
49.5	5.50337310149496e-17
50.5	7.28749549268108e-17
51.5	9.63844082127911e-17
52.5	1.27324863136269e-16
53.5	1.67995020154301e-16
54.5	2.21388559469366e-16
55.5	2.91399192436006e-16
56.5	3.83084652209285e-16
57.5	5.0300609499025e-16
58.5	6.59663848206148e-16
59.5	8.64056077703915e-16
60.5	1.1303940484801e-15
61.5	1.47701659038649e-15
62.5	1.9275576078741e-15
63.5	2.51243455618041e-15
64.5	3.27074344393516e-15
65.5	4.25266797600583e-15
66.5	5.52253798254219e-15
67.5	7.16270659667891e-15
68.5	9.27845834759639e-15
69.5	1.20042133924934e-14
70.5	1.551135892407e-14
71.5	2.00181202943308e-14
72.5	2.58019851683055e-14
73.5	3.3215318415235e-14
74.5	4.27049587460122e-14
75.5	5.48367767223669e-14
76.5	7.03264054495964e-14
77.5	9.00776393861239e-14
78.5	1.15230344550715e-13
79.5	1.4722014856851e-13
80.5	1.87852697788912e-13
81.5	2.39395900695193e-13
82.5	3.04694345416096e-13
83.5	3.87311012300452e-13
84.5	4.91702533551056e-13
85.5	6.23435620479849e-13
86.5	7.8945393211827e-13
87.5	9.98406652482694e-13
88.5	1.26105244373823e-12
89.5	1.59075532671106e-12
90.5	2.00409250042251e-12
91.5	2.52159825642482e-12
92.5	3.16867309826554e-12
93.5	3.97669308956474e-12
94.5	4.98436149907409e-12
95.5	6.23935318952701e-12
96.5	7.80031214387692e-12
97.5	9.73927431019348e-12
98.5	1.21446018906834e-11
99.5	1.51245316657329e-11
100.5	1.8811459350956e-11
101.5	2.33671048174371e-11
102.5	2.89887298172485e-11
103.5	3.5916611282387e-11
104.5	4.4443010029489e-11
105.5	5.49229176288359e-11
106.5	6.77869142188743e-11
107.5	8.35565282238858e-11
108.5	1.02862556454408e-10
109.5	1.26466881276703e-10
110.5	1.55288411928227e-10
111.5	1.90433881302641e-10
112.5	2.33234349487163e-10
113.5	2.8528840305968e-10
114.5	3.48513196901263e-10
115.5	4.25204665522198e-10
116.5	5.18108436323552e-10
117.5	6.30503210724516e-10
118.5	7.66298643790317e-10
119.5	9.30150052203786e-10
120.5	1.12759261761482e-09
121.5	1.36519813119203e-09
122.5	1.65075774929333e-09
123.5	1.99349470329109e-09
124.5	2.40431143239141e-09
125.5	2.89607619025431e-09
126.5	3.48395481751438e-09
127.5	4.18579407558542e-09
128.5	5.02256370436977e-09
129.5	6.0188651986808e-09
130.5	7.2035161950505e-09
131.5	8.6102203202255e-09
132.5	1.02783333710809e-08
133.5	1.22537377663722e-08
134.5	1.45898383240404e-08
135.5	1.73486935602342e-08
136.5	2.06022978598472e-08
137.5	2.44340310098509e-08
138.5	2.89402926864093e-08
139.5	3.42323405077546e-08
140.5	4.0438351161693e-08
141.5	4.77057248343375e-08
142.5	5.62036536391892e-08
143.5	6.61259748945662e-08
144.5	7.76943298302735e-08
145.5	9.11616475135585e-08
146.5	1.06815972344984e-07
147.5	1.24984651243349e-07
148.5	1.46038893451348e-07
149.5	1.70398711564373e-07
150.5	1.98538246704224e-07
151.5	2.30991473492792e-07
152.5	2.68358271366591e-07
153.5	3.11310837521899e-07
154.5	3.60600403073564e-07
155.5	4.17064197499199e-07
156.5	4.81632586744561e-07
157.5	5.55336287073719e-07
158.5	6.39313529415885e-07
159.5	7.34817017114812e-07
160.5	8.43220483121272e-07
161.5	9.66024610250499e-07
162.5	1.10486202959485e-06
163.5	1.26150105695592e-06
164.5	1.43784776464364e-06
165.5	1.63594591557953e-06
166.5	1.85797420774222e-06
167.5	2.10624018903382e-06
168.5	2.38317010510572e-06
169.5	2.69129383512265e-06
170.5	3.0332239525557e-06
171.5	3.41162781975607e-06
172.5	3.82919148641559e-06
173.5	4.2885740135781e-06
174.5	4.79235068763108e-06
175.5	5.34294342433785e-06
176.5	5.94253649397529e-06
177.5	6.59297552861833e-06
178.5	7.29564760653376e-06
179.5	8.05134005318859e-06
180.5	8.86007546230502e-06
181.5	9.72092033496836e-06
182.5	1.06317646742296e-05
183.5	1.1589069874564e-05
184.5	1.25875823314242e-05
185.5	1.36200103916592e-05
186.5	1.46766626009588e-05
187.5	1.57450457144881e-05
188.5	1.68094216606384e-05
189.5	1.78503236282538e-05
190.5	1.88440327304066e-05
191.5	1.97620183293392e-05
192.5	2.0570347132524e-05
193.5	2.12290686288379e-05
194.5	2.16915873569674e-05
195.5	2.19040359005688e-05
196.5	2.18046663796918e-05
197.5	2.13232825191867e-05
198.5	2.03807390476183e-05
199.5	1.8888540092819e-05
200.5	1.6748573214838e-05
201.5	1.3853020512309e-05
202.5	1.00844925435962e-05
203.5	5.31643423779426e-06
204.5	-5.86145917015312e-07
205.5	-7.76557183795586e-06
206.5	-1.63699714882118e-05
207.5	-2.65512797504847e-05
208.5	-3.84627365903014e-05
209.5	-5.22558569919426e-05
210.5	-6.80768658153828e-05
211.5	-8.60626117364405e-05
212.5	-0.000106335999621204
213.5	-0.00012900100952373
214.5	-0.000154137402042027
215.5	-0.000181795242622621
216.5	-0.000211989409698862
217.5	-0.000244694280968679
218.5	-0.000279838815980747
219.5	-0.000317302268576052
220.5	-0.000356910766619285
221.5	-0.000398434985952738
222.5	-0.000441589117976656
223.5	-0.000486031283365549
224.5	-0.000531365475925328
225.5	-0.000577145027711262
226.5	-0.000622877464749744
227.5	-0.000668030463890419
228.5	-0.000712038411405368
229.5	-0.000754308781540773
230.5	-0.000794227171758954
231.5	-0.000831159329571603
232.5	-0.0008644478883631
233.5	-0.000893400839154781
234.5	-0.000917267981210422
235.5	-0.000935200045793913
236.5	-0.000946179383855833
237.5	-0.000948888156634698
238.5	-0.000941400144708947
239.5	-0.000920338507922653
240.5	-0.000878479859864994
241.5	-0.000798190204958806
242.5	-0.000634768842264452
243.5	-0.000278435212134885
244.5	0.000520100507561563
245.5	0.00225999784475631
246.5	0.00574996763257401
247.5	0.0117966270242724
248.5	0.0199501168900491
249.5	0.0266389597900068
