solution variable
x	solution variable
0.5	-4.16383035966944e-52
1.5	-4.0698388580833e-51
2.5	-4.30544752872521e-50
3.5	-4.54124820739623e-49
4.5	-4.77480078163202e-48
5.5	-5.00328110521589e-47
6.5	-5.22338940087577e-46
7.5	-5.43128234186279e-45
8.5	-5.62249021717715e-44
9.5	-5.79181369052775e-43
10.5	-5.93319312992732e-42
11.5	-6.03954112739386e-41
12.5	-6.10252574733567e-40
13.5	-6.11228803302293e-39
14.5	-6.05707209842159e-38
15.5	-5.92273939860493e-37
16.5	-5.69213007155672e-36
17.5	-5.34422302029895e-35
18.5	-4.85303194174761e-34
19.5	-4.18615588862859e-33
20.5	-3.30287899137346e-32
21.5	-2.15168314674994e-31
22.5	-6.66997838574323e-31
23.5	1.23503973538334e-29
24.5	3.66210666133291e-28
25.5	6.75287529906726e-27
26.5	1.06863388477392e-25
27.5	1.56939071230937e-24
28.5	2.20750786906452e-23
29.5	3.0217728280982e-22
30.5	4.06243487668852e-21
31.5	5.3945974723562e-20
32.5	7.10260153919725e-19
33.5	9.29568719706192e-18
34.5	1.21153050637859e-16
35.5	1.57445564321098e-15
36.5	2.04203815176237e-14
37.5	2.64492959452735e-13
38.5	3.42277097764665e-12
39.5	4.42681663054255e-11
40.5	5.72332297704668e-10
41.5	7.39792581199539e-09
42.5	9.56129518825245e-08
43.5	1.23564179568237e-06
44.5	1.59654585819285e-05
45.5	0.000205239952549522
46.5	0.00249228138771598
47.5	0.0234613979885629
48.5	0.126672472600664
49.5	0.312058873460773
50.5	0.312058873460773
51.5	0.126672472600664
52.5	0.0234613979885629
53.5	0.00249228138771598
54.5	0.000205239952549522
55.5	1.59654585819285e-05
56.5	1.23564179568237e-06
57.5	9.56129518825245e-08
58.5	7.39792581199539e-09
59.5	5.72332297704668e-10
60.5	4.42681663054255e-11
61.5	3.42277097764665e-12
62.5	2.64492959452735e-13
63.5	2.04203815176237e-14
64.5	1.57445564321098e-15
65.5	1.21153050637859e-16
66.5	9.29568719706191e-18
67.5	7.10260153919724e-19
68.5	5.39459747235619e-20
69.5	4.06243487668851e-21
70.5	3.02177282809819e-22
71.5	2.20750786906451e-23
72.5	1.56939071230937e-24
73.5	1.06863388477391e-25
74.5	6.7528752990672e-27
75.5	3.66210666133286e-28
76.5	1.23503973538329e-29
77.5	-6.66997838574365e-31
78.5	-2.15168314674998e-31
79.5	-3.30287899137349e-32
80.5	-4.18615588862861e-33
81.5	-4.85303194174763e-34
82.5	-5.34422302029896e-35
83.5	-5.69213007155673e-36
84.5	-5.92273939860494e-37
85.5	-6.0570720984216e-38
86.5	-6.11228803302294e-39
87.5	-6.10252574733567e-40
88.5	-6.03954112739386e-41
89.5	-5.93319312992732e-42
90.5	-5.79181369052775e-43
91.5	-5.62249021717715e-44
92.5	-5.43128234186278e-45
93.5	-5.22338940087578e-46
94.5	-5.00328110521823e-47
95.5	-4.7748007818837e-48
96.5	-4.54124823446322e-49
97.5	-4.3054504335099e-50
98.5	-4.0701499183432e-51
99.5	-3.8742135372393e-52
