sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.01,,,0_0,,,
0.01,,,0_1,,,
0.01,,,0_2,,,
0.01,,,0_3,,,
0.01,-4.007186252283012,4.007186252283012,1_0,,,0.0
0.01,-0.750625291392797,1.7343285006840965,1_1,,,0.5671954355263625
0.01,-1.4235447312834888,2.146746034570676,1_2,,,0.209489169856947
0.01,-1.6038953256915516,2.290862184018421,2_0,(-5.348588660739137+0j),(1.6038953256915516+0j),0.20994903407123788
0.01,-1.2459496323366668,2.073233729717458,2_1,(-9.896893560545095+0j),(3.9491652768089596+0j),0.3299184027910482
0.01,-1.3490647197912715,2.1222931564547256,3_0,(-4.856362396673678+4.498717308021062j),(0.6745323598956358-1.046371371403461j),0.13656288955134394
0.0109749876549305,,,0_0,,,
0.0109749876549305,,,0_1,,,
0.0109749876549305,,,0_2,,,
0.0109749876549305,,,0_3,,,
0.0109749876549305,-4.0078871990102245,4.0078871990102245,1_0,,,0.0
0.0109749876549305,-0.7506862688986723,1.734550629872687,1_1,,,0.5672157064946721
0.0109749876549305,-1.4236217788646486,2.1470015834948972,1_2,,,0.20954532172027718
0.0109749876549305,-1.6041202613385632,2.291206170525009,2_0,(-5.349214984476953+0j),(1.6041202613385632+0j),0.20995181139830127
0.0109749876549305,-1.2460411890668797,2.073491381555163,2_1,(-9.899392347878717+0j),(3.950464504764746+0j),0.32995096202705193
0.0109749876549305,-1.3492092164492346,2.122578026711738,3_0,(-4.856239418644565+4.4991573043740125j),(0.6746046082246174-1.0464053799627595j),0.1365683660396872
0.0120450354025878,,,0_0,,,
0.0120450354025878,,,0_1,,,
0.0120450354025878,,,0_2,,,
0.0120450354025878,,,0_3,,,
0.0120450354025878,-4.008656547677288,4.008656547677288,1_0,,,0.0
0.0120450354025878,-0.7507532116672909,1.7347944482387065,1_1,,,0.5672379442823835
0.0120450354025878,-1.423707066043075,2.1472824317347476,1_2,,,0.20960658364573445
0.0120450354025878,-1.6043671566933688,2.291583733220084,2_0,(-5.349902496492183+0j),(1.6043671566933688+0j),0.2099548580556403
0.0120450354025878,-1.246142062226381,2.0737744158007505,2_1,(-9.902127268807766+0j),(3.9518863934445063+0j),0.32998654276892475
0.0120450354025878,-1.3493680226900202,2.1228908489949583,3_0,(-4.856108866111665+4.499640611786439j),(0.6746840113450101-1.0464434672026866j),0.13657435308032012
0.0132194114846602,,,0_0,,,
0.0132194114846602,,,0_1,,,
0.0132194114846602,,,0_2,,,
0.0132194114846602,,,0_3,,,
0.0132194114846602,-4.009500979756255,4.009500979756255,1_0,,,0.0
0.0132194114846602,-0.7508266667028693,1.735062032254835,1_1,,,0.567262349849753
0.0132194114846602,-1.423799661947214,2.1475901592920597,1_2,,,0.20967429640568797
0.0132194114846602,-1.604638128071841,2.2919981222721395,2_0,(-5.350657017427775+0j),(1.604638128071841+0j),0.209958201533459
0.0132194114846602,-1.246252229493843,2.0740847129407745,2_1,(-9.905140489024536+0j),(3.953453298584762+0j),0.3300257931486386
0.0132194114846602,-1.3495420360799673,2.1232339753824925,3_0,(-4.8559602860845255+4.500170350867277j),(0.6747710180399837-1.046484388307949j),0.13658095093811481
0.0145082877849593,,,0_0,,,
0.0145082877849593,,,0_1,,,
0.0145082877849593,,,0_2,,,
0.0145082877849593,,,0_3,,,
0.0145082877849593,-4.010427830679728,4.010427830679728,1_0,,,0.0
0.0145082877849593,-0.7509073178309181,1.7353557576733891,1_1,,,0.5672891195303561
0.0145082877849593,-1.4239013696476932,2.1479279604120114,1_2,,,0.20974856567412875
0.0145082877849593,-1.604935564706427,2.292452973011453,2_0,(-5.351485304021159+0j),(1.604935564706427+0j),0.20996186867817898
0.0145082877849593,-1.2463731948570482,2.074425326307817,2_1,(-9.90844771579648+0j),(3.9551731008977797+0j),0.3300688480133656
0.0145082877849593,-1.3497330723603251,2.1236106208872894,3_0,(-4.855798148417408+4.500751814254612j),(0.6748665361801626-1.0465294722113405j),0.1365881864914107
0.0159228279334109,,,0_0,,,
0.0159228279334109,,,0_1,,,
0.0159228279334109,,,0_2,,,
0.0159228279334109,,,0_3,,,
0.0159228279334109,-4.011445154108989,4.011445154108989,1_0,,,0.0
0.0159228279334109,-0.7509958605989977,1.7356781688307767,1_1,,,0.5673184844487046
0.0159228279334109,-1.424012636354349,2.148298544945952,1_2,,,0.20983024303455985
0.0159228279334109,-1.605262045960665,2.2929522319639997,2_0,(-5.3523945318521005+0j),(1.605262045960665+0j),0.20996589109051925
0.0159228279334109,-1.2465057748980517,2.0747990642607177,2_1,(-9.912082635425687+0j),(3.9570634438553163+0j),0.3301161672396282
0.0159228279334109,-1.3499426684331024,2.1240239644426624,3_0,(-4.855618739307524+4.501389757730311j),(0.6749713342165511-1.046578723829613j),0.13659613423939812
0.0174752840000768,,,0_0,,,
0.0174752840000768,,,0_1,,,
0.0174752840000768,,,0_2,,,
0.0174752840000768,,,0_3,,,
0.0174752840000768,-4.012561792596804,4.012561792596804,1_0,,,0.0
0.0174752840000768,-0.7510930451012595,1.7360320433271101,1_1,,,0.5673507018558324
0.0174752840000768,-1.4241349175919387,2.1487053662161055,1_2,,,0.20991977898459047
0.0174752840000768,-1.6056203929685728,2.2935002210476076,2_0,(-5.3533925198470325+0j),(1.6056203929685728+0j),0.20997030393559896
0.0174752840000768,-1.2466513664725847,2.0752093187093728,2_1,(-9.916071087301141+0j),(3.9591377507105765+0j),0.33016805684287864
0.0174752840000768,-1.350172768894949,2.124477681423204,3_0,(-4.855423434176893+4.502089888631726j),(0.6750863844474746-1.0466330803011674j),0.13660484773955112
0.0191791026167248,,,0_0,,,
0.0191791026167248,,,0_1,,,
0.0191791026167248,,,0_2,,,
0.0191791026167248,,,0_3,,,
0.0191791026167248,-4.0137874552385515,4.0137874552385515,1_0,,,0.0
0.0191791026167248,-0.7511996953236093,1.7364204310790994,1_1,,,0.5673860535856654
0.0191791026167248,-1.424268958381064,2.149151786557655,1_2,,,0.21001808957880708
0.0191791026167248,-1.6060137034577522,2.2941016857526466,2_0,(-5.354487855108729+0j),(1.6060137034577522+0j),0.20997514572822593
0.0191791026167248,-1.2468110542189275,2.075659532025133,2_1,(-9.920451134694087+0j),(3.9614159717801343+0j),0.33022502724739616
0.0191791026167248,-1.3504252742867027,2.1249756346745117,3_0,(-4.855208965543357+4.502857992360149j),(0.6752126371433512-1.046692758167611j),0.13661441050612758
0.0210490414451202,,,0_0,,,
0.0210490414451202,,,0_1,,,
0.0210490414451202,,,0_2,,,
0.0210490414451202,,,0_3,,,
0.0210490414451202,-4.015132803063505,4.015132803063505,1_0,,,0.0
0.0210490414451202,-0.7513167853783749,1.7368467607894877,1_1,,,0.5674248285226602
0.0210490414451202,-1.4244032014460657,2.149635304867141,1_2,,,0.2101323330043354
