sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.01,,,0_0,,,,0.2495516646949641,1.0,0
0.01,,,0_1,,,,0.1438895022462756,1.0,1
0.01,,,0_2,,,,0.0670267930761785,1.0,2
0.01,-4.007186252283012,4.007186252283012,1_0,,,0.0,0.0816134688942478,0.5671954355263625,1
0.01,-0.750625291392797,1.7343285006840965,1_1,,,0.5671954355263625,-0.0159387478749844,0.237796665236086,2
0.01,-1.6038953256915516,2.290862184018421,2_0,-5.348588660739137,1.6038953256915516,0.2099490340712378,0.0107521512344005,0.1604157194598326,2
0.0109749876549305,,,0_0,,,,0.2495080201476122,1.0,0
0.0109749876549305,,,0_1,,,,0.1438459136623332,1.0,1
0.0109749876549305,,,0_2,,,,0.0669985130743035,1.0,2
0.0109749876549305,-4.0078871990102245,4.0078871990102245,1_0,,,0.0,0.0815916615443519,0.5672157064946722,1
0.0109749876549305,-0.7506862688986723,1.734550629872687,1_1,,,0.5672157064946721,-0.0159312735718731,0.2377854797195994,2
0.0109749876549305,-1.6041202613385632,2.291206170525009,2_0,-5.349214984476953,1.6041202613385632,0.2099518113983012,0.010750030017605,0.1604517701114192,2
0.0120450354025878,,,0_0,,,,0.2494601341138652,1.0,0
0.0120450354025878,,,0_1,,,,0.143798093409358,1.0,1
0.0120450354025878,,,0_2,,,,0.0669674800502076,1.0,2
0.0120450354025878,-4.008656547677288,4.008656547677288,1_0,,,0.0,0.0815677348972503,0.5672379442823835,1
0.0120450354025878,-0.7507532116672909,1.7347944482387063,1_1,,,0.5672379442823835,-0.0159230857775494,0.2377734053246654,2
0.0120450354025878,-1.6043671566933688,2.291583733220084,2_0,-5.349902496492183,1.6043671566933688,0.2099548580556403,0.0107476902961587,0.1604911859920798,2
0.0132194114846602,,,0_0,,,,0.2494075958701454,1.0,0
0.0132194114846602,,,0_1,,,,0.1437456363136612,1.0,1
0.0132194114846602,,,0_2,,,,0.0669334582726185,1.0,2
0.0132194114846602,-4.009500979756255,4.009500979756255,1_0,,,0.0,0.0815414874359354,0.5672623498497529,1
0.0132194114846602,-0.7508266667028693,1.735062032254835,1_1,,,0.567262349849753,-0.0159140904843868,0.2377598721938001,2
0.0132194114846602,-1.604638128071841,2.2919981222721395,2_0,-5.350657017427775,1.604638128071841,0.209958201533459,0.0107451383577316,0.1605346359658716,2
0.0145082877849593,,,0_0,,,,0.2493499552217375,1.0,0
0.0145082877849593,,,0_1,,,,0.1436880905365732,1.0,1
0.0145082877849593,,,0_2,,,,0.0668961404594832,1.0,2
0.0145082877849593,-4.010427830679728,4.010427830679728,1_0,,,0.0,0.0815126903674907,0.5672891195303561,1
0.0145082877849593,-0.7509073178309181,1.7353557576733891,1_1,,,0.5672891195303561,-0.0159042247689224,0.2377450277352712,2
0.0145082877849593,-1.604935564706427,2.292452973011453,2_0,-5.351485304021159,1.604935564706427,0.2099618686781789,0.0107423358251545,0.1605822959496569,2
0.0159228279334109,,,0_0,,,,0.2492867187715838,1.0,0
0.0159228279334109,,,0_1,,,,0.143624966453034,1.0,1
0.0159228279334109,,,0_2,,,,0.0668552174887068,1.0,2
0.0159228279334109,-4.011445154108989,4.011445154108989,1_0,,,0.0,0.0814810982971313,0.5673184844487047,1
0.0159228279334109,-0.7509958605989977,1.7356781688307767,1_1,,,0.5673184844487046,-0.015893398603979,0.2377286201583864,2
0.0159228279334109,-1.605262045960665,2.292952231964,2_0,-5.3523945318521005,1.605262045960665,0.2099658910905192,0.0107392652315544,0.1606346615111753,2
0.0174752840000768,,,0_0,,,,0.2492173458474845,1.0,0
0.0174752840000768,,,0_1,,,,0.1435557291729816,1.0,1
0.0174752840000768,,,0_2,,,,0.066810336787023,1.0,2
0.0174752840000768,-4.012561792596804,4.012561792596804,1_0,,,0.0,0.0814464437017168,0.5673507018558323,1
0.0174752840000768,-0.7510930451012595,1.73603204332711,1_1,,,0.5673507018558324,-0.0158815292558736,0.2377106600510124,2
0.0174752840000768,-1.6056203929685728,2.293500221047608,2_0,-5.3533925198470325,1.6056203929685728,0.2099703039355989,0.0107358924532737,0.1606920870268547,2
0.0191791026167248,,,0_0,,,,0.2491412440623533,1.0,0
0.0191791026167248,,,0_1,,,,0.1434797930288832,1.0,1
0.0191791026167248,,,0_2,,,,0.0667611259131669,1.0,2
0.0191791026167248,-4.013787455238552,4.013787455238552,1_0,,,0.0,0.0814084335359461,0.5673860535856654,1
0.0191791026167248,-0.7511996953236093,1.7364204310790994,1_1,,,0.5673860535856654,-0.0158685128890657,0.2376909117696012,2
0.0191791026167248,-1.6060137034577522,2.2941016857526466,2_0,-5.354487855108729,1.6060137034577522,0.2099751457282259,0.0107321933718289,0.1607551284528637,2
0.0210490414451202,,,0_0,,,,0.2490577644746919,1.0,0
0.0210490414451202,,,0_1,,,,0.1433965103297208,1.0,1
0.0210490414451202,,,0_2,,,,0.0667073665961136,1.0,2
0.0210490414451202,-4.015132803063505,4.015132803063505,1_0,,,0.0,0.0813667402845897,0.5674248285226602,1
0.0210490414451202,-0.7513167853783749,1.7368467607894875,1_1,,,0.5674248285226602,-0.0158540392613263,0.2376654943870921,2
0.0210490414451202,-1.6064454335294238,2.294761892491163,2_0,-5.35569027187054,1.6064454335294238,0.2099804559281828,0.0107283338620485,0.1608268233252899,2
0.0231012970008316,,,0_0,,,,0.2489661963186023,1.0,0
0.0231012970008316,,,0_1,,,,0.1433051757138406,1.0,1
0.0231012970008316,,,0_2,,,,0.0666479843607024,1.0,2
0.0231012970008316,-4.016609542928868,4.016609542928868,1_0,,,0.0,0.0813210088044877,0.5674673534951306,1
0.0231012970008316,-0.7514453490428642,1.7373147555797372,1_1,,,0.5674673534951306,-0.0158386089601607,0.2376457309562639,2
0.0231012970008316,-1.6069193496848204,2.295486594952394,2_0,-5.357010301786474,1.6069193496848204,0.2099862791672105,0.0107236576076136,0.160899953846716,2
0.0253536449397011,,,0_0,,,,0.2488657612695191,1.0,0
0.0253536449397011,,,0_1,,,,0.1432050247649734,1.0,1
0.0253536449397011,,,0_2,,,,0.0665831152000289,1.0,2
0.0253536449397011,-4.018230530784065,4.018230530784065,1_0,,,0.0,0.0812708576327161,0.5675140084371831,1
0.0253536449397011,-0.7515864454150686,1.73782841543413,1_1,,,0.5675140084371831,-0.0158214671471868,0.2376198094615429,2
0.0253536449397011,-1.6074395275735525,2.296282049634048,2_0,-5.358459175833545,1.6074395275735525,0.2099926673191178,0.0107187538404809,0.1609830631726926,2
0.0278255940220712,,,0_0,,,,0.2487556072078521,1.0,0
0.0278255940220712,,,0_1,,,,0.143095212076137,1.0,1
0.0278255940220712,,,0_2,,,,0.0665120146551468,1.0,2
0.0278255940220712,-4.020009885302535,4.020009885302535,1_0,,,0.0,0.0812158599587898,0.5675651811157533,1
0.0278255940220712,-0.7517413363357888,1.7383922466636836,1_1,,,0.5675651811157533,-0.0158026714295183,0.2375912308693772,2
0.0278255940220712,-1.6080105209167417,2.2971552066913112,2_0,-5.36004966270119,1.6080105209167417,0.2099996732938812,0.0107133777276543,0.1610743229355075,2
0.0305385550883341,,,0_0,,,,0.2486348014508416,1.0,0
0.0305385550883341,,,0_1,,,,0.1429748198403476,1.0,1
0.0305385550883341,,,0_2,,,,0.0664340830748265,1.0,2
0.0305385550883341,-4.021963112825592,4.021963112825592,1_0,,,0.0,0.0811555553478481,0.5676213156867081,1
0.0305385550883341,-0.7519113396740479,1.7390111190801212,1_1,,,0.5676213156867083,-0.0157820788988683,0.237559971755651,2
0.0305385550883341,-1.6086372767669412,2.298113643806661,2_0,-5.361795487706878,1.6086372767669412,0.2100073576785481,0.0107074717408068,0.1611743738337848,2
0.0335160265093884,,,0_0,,,,0.2485023234025042,1.0,0
0.0335160265093884,,,0_1,,,,0.1428428382446736,1.0,1
0.0335160265093884,,,0_2,,,,0.0663487308520629,1.0,2
0.0335160265093884,-4.024107244986519,4.024107244986519,1_0,,,0.0,0.0810894335082308,0.5676828779426365,1
0.0335160265093884,-0.7520979742359946,1.7396904630027576,1_1,,,0.5676828779426364,-0.0157594609685225,0.2375246785603372,2
0.0335160265093884,-1.6093252847171504,2.2991657408244257,2_0,-5.36371204052549,1.6093252847171504,0.2100157839700852,0.0107010410366652,0.1612847887102046,2
0.0367837977182863,,,0_0,,,,0.2483570565940829,1.0,0
0.0367837977182863,,,0_1,,,,0.1426981699968152,1.0,1
0.0367837977182863,,,0_2,,,,0.0662551022283324,1.0,2
0.0367837977182863,-4.026460990131677,4.026460990131677,1_0,,,0.0,0.0810169424367387,0.5677503953873191,1
0.0367837977182863,-0.7523028467566015,1.7404361709728011,1_1,,,0.5677503953873191,-0.0157347876491316,0.2374879385878162,2
0.0367837977182863,-1.6100805254256692,2.3003206518407526,2_0,-5.365815955961988,1.6100805254256692,0.2100250240501712,0.0106938753887206,0.1614045564652025,2
0.0403701725859655,,,0_0,,,,0.2481977800690799,1.0,0
0.0403701725859655,,,0_1,,,,0.1425396134659032,1.0,1
0.0403701725859655,,,0_2,,,,0.0661525800343986,1.0,2
0.0403701725859655,-4.029044900086029,4.029044900086029,1_0,,,0.0,0.0809374754346838,0.5678244346722944,1
0.0403701725859655,-0.7525277591698739,1.7412547574253885,1_1,,,0.5678244346722945,-0.015707706553798,0.2374466203076317,2
0.0403701725859655,-1.6109095973172267,2.301588461594479,2_0,-5.368125671164036,1.6109095973172267,0.2100351550831324,0.0106860626729725,0.1615365971730182,2
0.0443062145758388,,,0_0,,,,0.2480231590745149,1.0,0
0.0443062145758388,,,0_1,,,,0.1423658585752206,1.0,1
0.0443062145758388,,,0_2,,,,0.0660402817801509,1.0,2
0.0443062145758388,-4.031881553849432,4.031881553849432,1_0,,,0.0,0.0808503711379184,0.567905619697438,1
0.0443062145758388,-0.7527746771137692,1.7421533614639009,1_1,,,0.5679056196974381,-0.0156780455062557,0.2374012509281566,2
0.0443062145758388,-1.6118197376648773,2.302980236814673,2_0,-5.370661381424695,1.6118197376648773,0.2100462619773337,0.0106774873299955,0.1616814320317569,2
0.0486260158006535,,,0_0,,,,0.247831735020286,1.0,0
0.0486260158006535,,,0_1,,,,0.142175475674302,1.0,1
0.0486260158006535,,,0_2,,,,0.065917296472902,1.0,2
0.0486260158006535,-4.034995759998799,4.034995759998799,1_0,,,0.0,0.0807549067911367,0.5679946306360983,1
0.0486260158006535,-0.7530457677018838,1.7431398336800583,1_1,,,0.5679946306360983,-0.015645566659051,0.2373514615467095,2
0.0486260158006535,-1.6128189031595883,2.30450814129782,2_0,-5.373445310171956,1.6128189031595883,0.2100584372324958,0.0106680729977563,0.1618402690732608,2
0.0533669923120631,,,0_0,,,,0.2476219146691556,1.0,0
0.0533669923120631,,,0_1,,,,0.1419669085496448,1.0,1
0.0533669923120631,,,0_2,,,,0.0657826344645264,1.0,2
0.0533669923120631,-4.038414779790743,4.038414779790743,1_0,,,0.0,0.0806502959252262,0.568092217751036,1
0.0533669923120631,-0.7533433889179717,1.744222771340858,1_1,,,0.568092217751036,-0.0156100126687917,0.237296861031152,2
0.0533669923120631,-1.613915817315313,2.3061855204722823,2_0,-5.376501776952416,1.613915817315313,0.2100717828065592,0.0106577360541639,0.1620144304179722,2
0.0585702081805666,,,0_0,,,,0.2473919585235699,1.0,0
0.0585702081805666,,,0_1,,,,0.141738460146025,1.0,1
0.0585702081805666,,,0_2,,,,0.0656352232360797,1.0,2
0.0585702081805666,-4.0421685731742425,4.0421685731742425,1_0,,,0.0,0.0805356790038972,0.5681991953413772,1
0.0585702081805666,-0.7536701516758078,1.745411642462435,1_1,,,0.5681991953413773,-0.0155710989275903,0.2372369310238122,2
0.0585702081805666,-1.6151200811120925,2.3080270542064154,2_0,-5.379857596686825,1.6151200811120925,0.2100864092601122,0.0106463886226399,0.1622054149849771,2
0.0642807311728432,,,0_0,,,,0.2471399683798442,1.0,0
0.0642807311728432,,,0_1,,,,0.1414882830249866,1.0,1
