error_next,pole_2,poles,poly_type,rel_error,remainder,res_2,residues,sigma,total_deg
0.4897561593198211,,,0_0,1.0,,,,0.01,0
0.2519007567027097,,,0_1,1.0,,,,0.01,1
0.012039661111007821,,2.0418324118451343,1_0,0.04779525583250584,0.0,,-2.0418324118451343,0.01,1
0.07816469921781549,,,0_0,1.0,,,,2.05061224489796,0
0.007641097268577859,,,0_1,1.0,,,,2.05061224489796,1
0.0015313770647662935,,12.793498983644493,1_0,0.2004132405255076,0.0,,-12.793498983644493,2.05061224489796,1
0.04035868344111712,,,0_0,1.0,,,,4.09122448979592,0
0.0022267149832588,,,0_1,1.0,,,,4.09122448979592,1
0.0005978916541584994,,24.77781519952179,1_0,0.2685083895575554,0.0,,-24.77781519952179,4.09122448979592,1
0.02452025128661086,,,0_0,1.0,,,,6.13183673469388,0
0.0008743209260021799,,,0_1,1.0,,,,6.13183673469388,1
0.00027307820284363843,,40.78261630809811,1_0,0.31233177054595346,0.0,,-40.78261630809811,6.13183673469388,1
0.01631882530930835,,,0_0,1.0,,,,8.17244897959184,0
0.00040478431631672004,,,0_1,1.0,,,,8.17244897959184,1
0.00013848025684099733,,61.27892057460744,1_0,0.3421087509048761,0.0,,-61.27892057460744,8.17244897959184,1
0.0115557347967581,,,0_0,1.0,,,,10.2130612244898,0
0.0002096539524529,,,0_1,1.0,,,,10.2130612244898,1
7.611894575989403e-05,,86.537119238886,1_0,0.3630694526352639,0.0,,-86.537119238886,10.2130612244898,1
0.00856684779118632,,,0_0,1.0,,,,12.2536734693878,0
0.00011802595514541123,,,0_1,1.0,,,,12.2536734693878,1
4.4635074068057286e-05,,116.72904951443311,1_0,0.37818015548415307,0.0,,-116.72904951443311,12.2536734693878,1
0.00658036586364575,,,0_0,1.0,,,,14.294285714285701,0
7.091444949367089e-05,,,0_1,1.0,,,,14.294285714285701,1
2.761323459423661e-05,,151.96723415101502,1_0,0.3893879849790146,0.0,,-151.96723415101502,14.294285714285701,1
0.00519948700849681,,,0_0,1.0,,,,16.3348979591837,0
4.4898819048326147e-05,,,0_1,1.0,,,,16.3348979591837,1
1.786415389679904e-05,,192.3266657587252,1_0,0.3978758077706061,0.0,,-192.3266657587252,16.3348979591837,1
0.00420418698609916,,,0_0,1.0,,,,18.375510204081603,0
2.967454569768834e-05,,,0_1,1.0,,,,18.375510204081603,1
1.1999357483602802e-05,,237.85811699299475,1_0,0.4043653306725284,0.0,,-237.85811699299475,18.375510204081603,1
0.00346504536703276,,,0_0,1.0,,,,20.416122448979607,0
2.0331902050438752e-05,,,0_1,1.0,,,,20.416122448979607,1
8.325362654843558e-06,,288.5965100238601,1_0,0.40947288818283,0.0,,-288.5965100238601,20.416122448979607,1
0.00290219950336096,,,0_0,1.0,,,,22.456734693877607,0
1.4361913719161663e-05,,,0_1,1.0,,,,22.456734693877607,1
5.939151761853061e-06,,344.5662501292301,1_0,0.4135348448674389,0.0,,-344.5662501292301,22.456734693877607,1
0.00246436124419098,,,0_0,1.0,,,,24.4973469387755,0
1.0411859252918418e-05,,,0_1,1.0,,,,24.4973469387755,1
4.338782911047903e-06,,405.7846642237258,1_0,0.4167154785377792,0.0,,-405.7846642237258,24.4973469387755,1
0.00211745863002855,,,0_0,1.0,,,,26.5379591836735,0
7.721358720539827e-06,,,0_1,1.0,,,,26.5379591836735,1
3.2377276706574426e-06,,472.26424441950815,1_0,0.4193209754708925,0.0,,-472.26424441950815,26.5379591836735,1
0.0018381875446863106,,,0_0,1.0,,,,28.5785714285714,0
5.842408175677492e-06,,,0_1,1.0,,,,28.5785714285714,1
2.463474726237607e-06,,544.0141311427783,1_0,0.4216539913272903,0.0,,-544.0141311427783,28.5785714285714,1
0.00161019937110421,,,0_0,1.0,,,,30.6191836734694,0
4.498053420765286e-06,,,0_1,1.0,,,,30.6191836734694,1
1.9053114060608929e-06,,621.0411070488992,1_0,0.4235857665151359,0.0,,-621.0411070488992,30.6191836734694,1
0.00142176670581748,,,0_0,1.0,,,,32.6597959183673,0
3.517800865065458e-06,,,0_1,1.0,,,,32.6597959183673,1
1.4963802992943691e-06,,703.3502725224004,1_0,0.42537379365461175,0.0,,-703.3502725224004,32.6597959183673,1
0.00126430959658913,,,0_0,1.0,,,,34.7004081632653,0
2.7895871030475544e-06,,,0_1,1.0,,,,34.7004081632653,1
1.1911083470201857e-06,,790.9455110503094,1_0,0.4269837445545004,0.0,,-790.9455110503094,34.7004081632653,1
0.00113143954157945,,,0_0,1.0,,,,36.741020408163294,0
2.238575843034356e-06,,,0_1,1.0,,,,36.741020408163294,1
9.584204067848395e-07,,883.8298143655428,1_0,0.4281384567635266,0.0,,-883.8298143655428,36.741020408163294,1
0.00101832422231729,,,0_0,1.0,,,,38.7816326530612,0
1.8156123963604327e-06,,,0_1,1.0,,,,38.7816326530612,1
7.786281746023198e-07,,982.005512669048,1_0,0.4288515413108842,0.0,,-982.005512669048,38.7816326530612,1
0.00092125614712637,,,0_0,1.0,,,,40.8222448979592,0
1.487333672011892e-06,,,0_1,1.0,,,,40.8222448979592,1
6.386207833937682e-07,,1085.4744395673797,1_0,0.4293729076474926,0.0,,-1085.4744395673797,40.8222448979592,1
0.00083735399222628,,,0_0,1.0,,,,42.8628571428571,0
1.2286203795726556e-06,,,0_1,1.0,,,,42.8628571428571,1
5.274586712753666e-07,,1194.23805139006,1_0,0.4293097201096646,0.0,,-1194.23805139006,42.8628571428571,1
0.0007643521351915598,,,0_0,1.0,,,,44.903469387755095,0
1.0229655792902515e-06,,,0_1,1.0,,,,44.903469387755095,1
4.387313927183548e-07,,1308.297516234952,1_0,0.4288818720789736,0.0,,-1308.297516234952,44.903469387755095,1
0.00070044993788681,,,0_0,1.0,,,,46.9440816326531,0
8.75207535374399e-07,,,0_1,1.0,,,,46.9440816326531,1
3.845774198887629e-07,,1427.6537778230145,1_0,0.4394128299229591,0.0,,-1427.6537778230145,46.9440816326531,1
0.00064420221696948,,,0_0,1.0,,,,48.984693877551,0
7.255660940328134e-07,,,0_1,1.0,,,,48.984693877551,1
3.105695976844205e-07,,1552.3076041313534,1_0,0.4280376388017589,0.0,,-1552.3076041313534,48.984693877551,1
0.0005944385657293598,,,0_0,1.0,,,,51.025306122448995,0
6.177155751324204e-07,,,0_1,1.0,,,,51.025306122448995,1
2.6435836670604174e-07,,1682.2596272383967,1_0,0.4279613099432873,0.0,,-1682.2596272383967,51.025306122448995,1
0.00055020318877814,,,0_0,1.0,,,,53.065918367346896,0
5.294847792559068e-07,,,0_1,1.0,,,,53.065918367346896,1
2.2676123031427322e-07,,1817.5103677983825,1_0,0.428267703243414,0.0,,-1817.5103677983825,53.065918367346896,1
0.0005107095120051701,,,0_0,1.0,,,,55.1065306122449,0
4.56856036365063e-07,,,0_1,1.0,,,,55.1065306122449,1
1.9603183071250406e-07,,1958.0602602715505,1_0,0.42908884880281983,0.0,,-1958.0602602715505,55.1065306122449,1
0.00047530557798097003,,,0_0,1.0,,,,57.147142857142896,0
3.965840926807424e-07,,,0_1,1.0,,,,57.147142857142896,1
1.7066870022091848e-07,,2103.9096663831647,1_0,0.43034681261991503,0.0,,-2103.9096663831647,57.147142857142896,1
0.00044344742859975,,,0_0,1.0,,,,59.187755102040796,0
3.4635512467268565e-07,,,0_1,1.0,,,,59.187755102040796,1
1.4970950274095525e-07,,2255.0587409146688,1_0,0.4322427822669999,0.0,,-2255.0587409146688,59.187755102040796,1
0.00041467825074408996,,,0_0,1.0,,,,61.2283673469388,0
3.041059602378652e-07,,,0_1,1.0,,,,61.2283673469388,1
1.3214790859768679e-07,,2411.508195102157,1_0,0.4345456054012343,0.0,,-2411.508195102157,61.2283673469388,1
0.00038861244313108,,,0_0,1.0,,,,63.268979591836704,0
2.68377818817946e-07,,,0_1,1.0,,,,63.268979591836704,1
1.1735818786163909e-07,,2573.2577988057305,1_0,0.4372872109123481,0.0,,-2573.2577988057305,63.268979591836704,1
0.00036492249850226003,,,0_0,1.0,,,,65.30959183673471,0
2.377982233533029e-07,,,0_1,1.0,,,,65.30959183673471,1
1.0462979344017094e-07,,2740.3078848365576,1_0,0.4399940082172934,0.0,,-2740.3078848365576,65.30959183673471,1
0.0003433289418426,,,0_0,1.0,,,,67.3502040816327,0
2.117095720055923e-07,,,0_1,1.0,,,,67.3502040816327,1
9.383480969883287e-08,,2912.6586143106238,1_0,0.4432242189614092,0.0,,-2912.6586143106238,67.3502040816327,1
