sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.01,0,1,[0.24955166 1.        ],[1.],"[1.0, 0.2495516646947204, 0.0, 0.0]",,,,,,,
0.01,0,2,[0.1438895  0.24955166 1.        ],[1.],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.0]",,,,,,,
0.01,0,3,[0.06702679 0.1438895  0.24955166 1.        ],[1.],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.06702679307617872]",,,,,,,
0.01,1,0,[1.],[-0.24955166  1.        ],"[1.0, 0.2495516646947204, 0.06227603335190616, 0.01554108779355211]",(4.0071862522869255+0j),(-4.0071862522869255+0j),[1],,,0j,[0.]
0.01,1,1,[-0.32704037  1.        ],[-0.57659204  1.        ],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.0829655409512441]",(1.7343285006824023+0j),(-0.7506252913905975+0j),[1],,,(0.567195435527208+0j),[0.56719544]
0.01,1,2,[ 0.02764302 -0.21626962  1.        ],[-0.46582129  1.        ],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.06702679307617872]",(2.1467460345706724+0j),(-1.4235447312834817+0j),[1],,,(0.2094891698564272+0j),[-0.05934255  0.33688256]
0.01,2,0,[1.],[-0.08161347 -0.24955166  1.        ],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.05627464184175349]",(2.2908621840182923+0j),(-1.6038953256907986+0j),[1],(-5.3485886607314646+0j),(1.6038953256907986+0j),(0.20994903407135374+0j),[0.]
0.01,2,1,[-0.13174481  1.        ],[-0.04873633 -0.38129648  1.        ],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.06702679307617872]",(2.0732337297170087+0j),(-1.2459496323356498+0j),[1],(-9.896893560521416+0j),(3.9491652768030754+0j),(0.32991840279122164+0j),[0.]
0.01,3,0,[1.],[-0.01075215 -0.08161347 -0.24955166  1.        ],"[1.0, 0.2495516646947204, 0.14388950224627564, 0.06702679307617872]",(2.1222931564543646+0j),(-1.3490647197903614-0j),[1],(-4.856362396670441+4.498717308014201j),(0.6745323598951808-1.0463713714038116j),(0.13656288955140317+0j),[0.]
0.11009009009009008,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.11009009009009008,0,1,[0.24513306 1.        ],[1.],"[1.0, 0.24513305915141195, 0.0, 0.0]",,,,,,,
0.11009009009009008,0,2,[0.13950179 0.24513306 1.        ],[1.],"[1.0, 0.24513305915141195, 0.13950178970134844, 0.0]",,,,,,,
0.11009009009009008,0,3,[0.0641967  0.13950179 0.24513306 1.        ],[1.],"[1.0, 0.24513305915141195, 0.13950178970134844, 0.06419670211320272]",,,,,,,
0.11009009009009008,1,0,[1.],[-0.24513306  1.        ],"[1.0, 0.24513305915141195, 0.06009021668892963, 0.014730098642028547]",(4.079417127423549+0j),(-4.079417127423549+0j),[1],,,0j,[0.]
0.11009009009009008,1,1,[-0.32395293  1.        ],[-0.56908599  1.        ],"[1.0, 0.24513305915141193, 0.1395017897013484, 0.07938851412880574]",(1.7572036866064844+0j),(-0.7569132304382828+0j),[1],,,(0.5692512847500136+0j),[0.56925128]
0.11009009009009008,1,2,[ 0.02669511 -0.21505245  1.        ],[-0.46018551  1.        ],"[1.0, 0.24513305915141195, 0.13950178970134844, 0.06419670211320272]",(2.1730366998503254+0j),(-1.4314657539336313+0j),[1],,,(0.2152035404341974+0j),[-0.05800945  0.3412602 ]
0.11009009009009008,2,0,[1.],[-0.07941157 -0.24513306  1.        ],"[1.0, 0.24513305915141195, 0.13950178970134844, 0.053662902291148416]",(2.326296099866952+0j),(-1.6270673077642557+0j),[1],(-5.413164296182327+0j),(1.6270673077642557+0j),(0.2102300708967793+0j),[0.]
0.11009009009009008,2,1,[-0.13264817  1.        ],[-0.04689512 -0.37778123  1.        ],"[1.0, 0.24513305915141195, 0.13950178970134844, 0.06419670211320272]",(2.0997423723348376+0j),(-1.2553544612111247+0j),[1],(-10.155617227662315+0j),(4.083967885785138+0j),(0.33323933520368404+0j),[0.]
0.11009009009009008,3,0,[1.],[-0.0105338  -0.07941157 -0.24513306  1.        ],"[1.0, 0.24513305915141195, 0.13950178970134844, 0.06419670211320272]",(2.151630563777876+0j),(-1.3639570456027352-0j),[1],(-4.8451850418001285+4.5437180393324255j),(0.6819785228013675-1.0501703516151082j),(0.13711560262170228+0j),[0.]
0.21018018018018014,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.21018018018018014,0,1,[0.24083645 1.        ],[1.],"[1.0, 0.2408364464781476, 0.0, 0.0]",,,,,,,
0.21018018018018014,0,2,[0.13528482 0.24083645 1.        ],[1.],"[1.0, 0.2408364464781476, 0.13528482050871324, 0.0]",,,,,,,
0.21018018018018014,0,3,[0.06150826 0.13528482 0.24083645 1.        ],[1.],"[1.0, 0.2408364464781476, 0.13528482050871324, 0.06150825912803579]",,,,,,,
0.21018018018018014,1,0,[1.],[-0.24083645  1.        ],"[1.0, 0.2408364464781476, 0.05800219395222165, 0.013969042279389365]",(4.152195461373973+0j),(-4.152195461373973+0j),[1],,,0j,[0.]
0.21018018018018014,1,1,[-0.32089257  1.        ],[-0.56172902  1.        ],"[1.0, 0.24083644647814761, 0.13528482050871324, 0.07599340933530753]",(1.780217806938925+0j),(-0.7632529512697236+0j),[1],,,(0.5712586694197083+0j),[0.57125867]
0.21018018018018014,1,2,[ 0.02578672 -0.21382106  1.        ],[-0.45465751  1.        ],"[1.0, 0.2408364464781476, 0.13528482050871324, 0.06150825912803579]",(2.1994578033350596+0j),(-1.439447975033769+0j),[1],,,(0.22079794807896486+0j),[-0.05671681  0.34554417]
0.21018018018018014,2,0,[1.],[-0.07728263 -0.24083645  1.        ],"[1.0, 0.2408364464781476, 0.13528482050871324, 0.05119398858811567]",(2.361968872683276+0j),(-1.6503971529513568+0j),[1],(-5.478276601977419+0j),(1.6503971529513568+0j),(0.21050324996651734+0j),[0.]
0.21018018018018014,2,1,[-0.1334617  1.       ],[-0.04514019 -0.37429814  1.        ],"[1.0, 0.2408364464781476, 0.13528482050871324, 0.06150825912803579]",(2.1263781082013504+0j),(-1.2647889808158816+0j),[1],(-10.418283415433478+0j),(4.2213939666405995+0j),(0.33650919625748865+0j),[0.]
