sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]","[0.0, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]",0.2495516646949641,1.0,,,,,,,
0.01,0,1,[0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.0, 0.0]","[1, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]","[0.0, 0.0, 0.1438895022462756, 0.06702679307617859]",0.1438895022462756,1.0,,,,,,,
0.01,0,2,[0.1438895  0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.1438895022462756, 0.0]","[1, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]","[0.0, 0.0, 0.0, 0.06702679307617859]",0.06702679307617859,1.0,,,,,,,
0.01,1,0,[1.],[-0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.06227603335202779, 0.01554108779359764]","[1, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]","[0.0, 0.0, 0.08161346889424782, 0.05148570528258095]",0.08161346889424782,0.5671954355263625,4.007186252283012,-4.007186252283012,[1],,,0.0,[]
0.01,1,1,[-0.32704037  1.        ],[-0.57659204  1.        ],"[1.0, 0.2495516646949641, 0.1438895022462756, 0.08296554095116304]","[1, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]","[0.0, 0.0, 0.0, -0.01593874787498445]",-0.01593874787498445,0.23779666523608603,1.7343285006840965,-0.750625291392797,[1],,,0.5671954355263625,[0.56719544]
0.01,2,0,[1.],[-0.08161347 -0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.1438895022462756, 0.05627464184177807]","[1, 0.2495516646949641, 0.1438895022462756, 0.06702679307617859]","[0.0, 0.0, 0.0, 0.010752151234400521]",0.010752151234400521,0.16041571945983268,2.290862184018421,-1.6038953256915516,[1],-5.348588660739137,1.6038953256915516,0.20994903407123788,[]
0.0109749876549305,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]","[0.0, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]",0.2495080201476122,1.0,,,,,,,
0.0109749876549305,0,1,[0.24950802 1.        ],[1.],"[1.0, 0.2495080201476122, 0.0, 0.0]","[1, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]","[0.0, 0.0, 0.1438459136623332, 0.0669985130743035]",0.1438459136623332,1.0,,,,,,,
0.0109749876549305,0,2,[0.14384591 0.24950802 1.        ],[1.],"[1.0, 0.2495080201476122, 0.1438459136623332, 0.0]","[1, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]","[0.0, 0.0, 0.0, 0.0669985130743035]",0.0669985130743035,1.0,,,,,,,
0.0109749876549305,1,0,[1.],[-0.24950802  1.        ],"[1.0, 0.2495080201476122, 0.06225425211798125, 0.015532935191727796]","[1, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]","[0.0, 0.0, 0.08159166154435196, 0.051465577882575705]",0.08159166154435196,0.5672157064946722,4.0078871990102245,-4.0078871990102245,[1],,,0.0,[]
0.0109749876549305,1,1,[-0.32701018  1.        ],[-0.5765182  1.       ],"[1.0, 0.2495080201476122, 0.1438459136623332, 0.08292978664617662]","[1, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]","[0.0, 0.0, 0.0, -0.015931273571873114]",-0.015931273571873114,0.23778547971959946,1.734550629872687,-0.7506862688986723,[1],,,0.5672157064946721,[0.56721571]
0.0109749876549305,2,0,[1.],[-0.08159166 -0.24950802  1.        ],"[1.0, 0.2495080201476122, 0.1438459136623332, 0.05624848305669844]","[1, 0.2495080201476122, 0.1438459136623332, 0.0669985130743035]","[0.0, 0.0, 0.0, 0.010750030017605064]",0.010750030017605064,0.16045177011141926,2.291206170525009,-1.6041202613385632,[1],-5.349214984476953,1.6041202613385632,0.20995181139830127,[]
0.0120450354025878,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]","[0.0, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]",0.2494601341138652,1.0,,,,,,,
0.0120450354025878,0,1,[0.24946013 1.        ],[1.],"[1.0, 0.2494601341138652, 0.0, 0.0]","[1, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]","[0.0, 0.0, 0.143798093409358, 0.06696748005020761]",0.143798093409358,1.0,,,,,,,
0.0120450354025878,0,2,[0.14379809 0.24946013 1.        ],[1.],"[1.0, 0.2494601341138652, 0.143798093409358, 0.0]","[1, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]","[0.0, 0.0, 0.0, 0.06696748005020761]",0.06696748005020761,1.0,,,,,,,
0.0120450354025878,1,0,[1.],[-0.24946013  1.        ],"[1.0, 0.2494601341138652, 0.06223035851210761, 0.015523993580384277]","[1, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]","[0.0, 0.0, 0.08156773489725039, 0.05144348646982334]",0.08156773489725039,0.5672379442823835,4.008656547677288,-4.008656547677288,[1],,,0.0,[]
0.0120450354025878,1,1,[-0.32697703  1.        ],[-0.57643717  1.        ],"[1.0, 0.2494601341138652, 0.143798093409358, 0.08289056582775707]","[1, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]","[0.0, 0.0, 0.0, -0.01592308577754946]",-0.01592308577754946,0.2377734053246654,1.7347944482387065,-0.7507532116672909,[1],,,0.5672379442823835,[0.56723794]
0.0120450354025878,2,0,[1.],[-0.08156773 -0.24946013  1.        ],"[1.0, 0.2494601341138652, 0.143798093409358, 0.05621978975404884]","[1, 0.2494601341138652, 0.143798093409358, 0.06696748005020761]","[0.0, 0.0, 0.0, 0.010747690296158768]",0.010747690296158768,0.16049118599207987,2.291583733220084,-1.6043671566933688,[1],-5.349902496492183,1.6043671566933688,0.2099548580556403,[]
0.0132194114846602,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]","[0.0, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]",0.2494075958701454,1.0,,,,,,,
0.0132194114846602,0,1,[0.2494076 1.       ],[1.],"[1.0, 0.2494075958701454, 0.0, 0.0]","[1, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]","[0.0, 0.0, 0.1437456363136612, 0.0669334582726185]",0.1437456363136612,1.0,,,,,,,
0.0132194114846602,0,2,[0.14374564 0.2494076  1.        ],[1.],"[1.0, 0.2494075958701454, 0.1437456363136612, 0.0]","[1, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]","[0.0, 0.0, 0.0, 0.0669334582726185]",0.0669334582726185,1.0,,,,,,,
0.0132194114846602,1,0,[1.],[-0.2494076  1.       ],"[1.0, 0.2494075958701454, 0.062204148877725775, 0.015514187224742189]","[1, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]","[0.0, 0.0, 0.08154148743593542, 0.05141927104787631]",0.08154148743593542,0.5672623498497529,4.009500979756255,-4.009500979756255,[1],,,0.0,[]
0.0132194114846602,1,1,[-0.32694067  1.        ],[-0.57634827  1.        ],"[1.0, 0.24940759587014538, 0.1437456363136612, 0.08284754875700533]","[1, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]","[0.0, 2.7755575615628914e-17, 0.0, -0.015914090484386828]",-0.015914090484386828,0.23775987219380013,1.735062032254835,-0.7508266667028693,[1],,,0.567262349849753,[0.56726235]
0.0132194114846602,2,0,[1.],[-0.08154149 -0.2494076   1.        ],"[1.0, 0.2494075958701454, 0.1437456363136612, 0.056188319914886826]","[1, 0.2494075958701454, 0.1437456363136612, 0.0669334582726185]","[0.0, 0.0, 0.0, 0.010745138357731672]",0.010745138357731672,0.16053463596587167,2.2919981222721395,-1.604638128071841,[1],-5.350657017427775,1.604638128071841,0.209958201533459,[]
0.0145082877849593,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]",0.2493499552217375,1.0,,,,,,,
0.0145082877849593,0,1,[0.24934996 1.        ],[1.],"[1.0, 0.2493499552217375, 0.0, 0.0]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, 0.0, 0.1436880905365732, 0.06689614045948321]",0.1436880905365732,1.0,,,,,,,
0.0145082877849593,0,2,[0.14368809 0.24934996 1.        ],[1.],"[1.0, 0.2493499552217375, 0.1436880905365732, 0.0]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, 0.0, 0.0, 0.06689614045948321]",0.06689614045948321,1.0,,,,,,,
0.0145082877849593,1,0,[1.],[-0.24934996  1.        ],"[1.0, 0.2493499552217375, 0.0621754001690825, 0.015503433248054331]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, 0.0, 0.0815126903674907, 0.05139270721142888]",0.0815126903674907,0.5672891195303561,4.010427830679728,-4.010427830679728,[1],,,0.0,[]
0.0145082877849593,1,1,[-0.32690076  1.        ],[-0.57625072  1.        ],"[1.0, 0.24934995522173753, 0.14368809053657322, 0.08280036522840564]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, -2.7755575615628914e-17, -2.7755575615628914e-17, -0.015904224768922434]",-0.015904224768922434,0.2377450277352712,1.7353557576733891,-0.7509073178309181,[1],,,0.5672891195303561,[0.56728912]
0.0145082877849593,2,0,[1.],[-0.08151269 -0.24934996  1.        ],"[1.0, 0.2493499552217375, 0.1436880905365732, 0.056153804634328654]","[1, 0.2493499552217375, 0.1436880905365732, 0.06689614045948321]","[0.0, 0.0, 0.0, 0.010742335825154554]",0.010742335825154554,0.16058229594965698,2.292452973011453,-1.604935564706427,[1],-5.351485304021159,1.604935564706427,0.20996186867817898,[]
0.0159228279334109,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]","[0.0, 0.2492867187715838, 0.143624966453034, 0.0668552174887068]",0.2492867187715838,1.0,,,,,,,
