sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.01,,,0_0,,,,0.2495516646949641,1.0,0
0.01,,,0_1,,,,0.1438895022462756,1.0,1
0.01,,,0_2,,,,0.0670267930761787,1.0,2
0.01,-4.007186252283012,4.007186252283012,1_0,,,0.0,0.0816134688942478,0.5671954355263626,1
0.01,-0.7506252913927967,1.734328500684096,1_1,,,0.5671954355263626,-0.0159387478749843,0.2377966652360843,2
0.01,-1.6038953256915514,2.290862184018421,2_0,-5.348588660739136,1.6038953256915514,0.2099490340712379,0.0107521512344006,0.1604157194598341,2
0.0109749876549305,,,0_0,,,,0.2495080201476123,1.0,0
0.0109749876549305,,,0_1,,,,0.1438459136623333,1.0,1
0.0109749876549305,,,0_2,,,,0.0669985130743036,1.0,2
0.0109749876549305,-4.007887199010222,4.007887199010222,1_0,,,0.0,0.0815916615443519,0.5672157064946721,1
0.0109749876549305,-0.7506862688986722,1.7345506298726867,1_1,,,0.5672157064946721,-0.015931273571873,0.2377854797195971,2
0.0109749876549305,-1.604120261338563,2.291206170525008,2_0,-5.349214984476953,1.604120261338563,0.2099518113983012,0.0107500300176051,0.1604517701114207,2
0.0120450354025878,,,0_0,,,,0.2494601341138652,1.0,0
0.0120450354025878,,,0_1,,,,0.1437980934093581,1.0,1
0.0120450354025878,,,0_2,,,,0.0669674800502078,1.0,2
0.0120450354025878,-4.008656547677287,4.008656547677287,1_0,,,0.0,0.0815677348972505,0.5672379442823837,1
0.0120450354025878,-0.7507532116672896,1.734794448238705,1_1,,,0.5672379442823838,-0.0159230857775493,0.237773405324663,2
0.0120450354025878,-1.604367156693368,2.2915837332200826,2_0,-5.349902496492176,1.604367156693368,0.2099548580556404,0.0107476902961589,0.1604911859920818,2
0.0132194114846602,,,0_0,,,,0.2494075958701454,1.0,0
0.0132194114846602,,,0_1,,,,0.1437456363136613,1.0,1
0.0132194114846602,,,0_2,,,,0.0669334582726186,1.0,2
0.0132194114846602,-4.009500979756255,4.009500979756255,1_0,,,0.0,0.0815414874359355,0.5672623498497533,1
0.0132194114846602,-0.7508266667028679,1.7350620322548334,1_1,,,0.5672623498497534,-0.0159140904843868,0.2377598721937993,2
0.0132194114846602,-1.6046381280718398,2.2919981222721377,2_0,-5.3506570174277694,1.6046381280718398,0.209958201533459,0.0107451383577317,0.1605346359658729,2
0.0145082877849593,,,0_0,,,,0.2493499552217376,1.0,0
0.0145082877849593,,,0_1,,,,0.1436880905365732,1.0,1
0.0145082877849593,,,0_2,,,,0.0668961404594833,1.0,2
0.0145082877849593,-4.010427830679726,4.010427830679726,1_0,,,0.0,0.0815126903674906,0.5672891195303558,1
0.0145082877849593,-0.7509073178309192,1.7353557576733898,1_1,,,0.5672891195303557,-0.0159042247689222,0.2377450277352687,2
0.0145082877849593,-1.604935564706427,2.2924529730114536,2_0,-5.351485304021162,1.604935564706427,0.2099618686781788,0.0107423358251546,0.1605822959496583,2
0.0159228279334109,,,0_0,,,,0.2492867187715839,1.0,0
0.0159228279334109,,,0_1,,,,0.1436249664530341,1.0,1
0.0159228279334109,,,0_2,,,,0.0668552174887069,1.0,2
0.0159228279334109,-4.011445154108987,4.011445154108987,1_0,,,0.0,0.0814810982971313,0.5673184844487046,1
0.0159228279334109,-0.7509958605989976,1.735678168830776,1_1,,,0.5673184844487045,-0.015893398603979,0.2377286201583858,2
0.0159228279334109,-1.6052620459606646,2.2929522319639988,2_0,-5.352394531852099,1.6052620459606646,0.2099658910905192,0.0107392652315544,0.1606346615111755,2
0.0174752840000768,,,0_0,,,,0.2492173458474845,1.0,0
0.0174752840000768,,,0_1,,,,0.1435557291729817,1.0,1
0.0174752840000768,,,0_2,,,,0.0668103367870232,1.0,2
0.0174752840000768,-4.012561792596804,4.012561792596804,1_0,,,0.0,0.081446443701717,0.5673507018558326,1
0.0174752840000768,-0.7510930451012583,1.7360320433271088,1_1,,,0.5673507018558327,-0.0158815292558736,0.2377106600510107,2
0.0174752840000768,-1.6056203929685715,2.2935002210476068,2_0,-5.353392519847028,1.6056203929685715,0.2099703039355989,0.0107358924532739,0.1606920870268564,2
0.0191791026167248,,,0_0,,,,0.2491412440623533,1.0,0
0.0191791026167248,,,0_1,,,,0.1434797930288832,1.0,1
0.0191791026167248,,,0_2,,,,0.0667611259131669,1.0,2
0.0191791026167248,-4.013787455238552,4.013787455238552,1_0,,,0.0,0.0814084335359461,0.5673860535856656,1
0.0191791026167248,-0.7511996953236083,1.7364204310790985,1_1,,,0.5673860535856657,-0.0158685128890658,0.2376909117696014,2
0.0191791026167248,-1.606013703457752,2.294101685752646,2_0,-5.354487855108725,1.606013703457752,0.209975145728226,0.0107321933718289,0.160755128452864,2
0.0210490414451202,,,0_0,,,,0.2490577644746919,1.0,0
0.0210490414451202,,,0_1,,,,0.1433965103297209,1.0,1
0.0210490414451202,,,0_2,,,,0.0667073665961138,1.0,2
0.0210490414451202,-4.015132803063505,4.015132803063505,1_0,,,0.0,0.0813667402845898,0.5674248285226607,1
0.0210490414451202,-0.7513167853783733,1.7368467607894855,1_1,,,0.5674248285226606,-0.0158540392613263,0.2376654943870914,2
0.0210490414451202,-1.6064454335294218,2.2947618924911617,2_0,-5.355690271870533,1.6064454335294218,0.2099804559281828,0.0107283338620486,0.1608268233252911,2
0.0231012970008316,,,0_0,,,,0.2489661963186023,1.0,0
0.0231012970008316,,,0_1,,,,0.1433051757138407,1.0,1
0.0231012970008316,,,0_2,,,,0.0666479843607025,1.0,2
0.0231012970008316,-4.016609542928867,4.016609542928867,1_0,,,0.0,0.0813210088044878,0.5674673534951306,1
0.0231012970008316,-0.7514453490428636,1.7373147555797366,1_1,,,0.5674673534951307,-0.0158386089601607,0.2376457309562626,2
0.0231012970008316,-1.60691934968482,2.2954865949523926,2_0,-5.357010301786472,1.60691934968482,0.2099862791672106,0.0107236576076137,0.1608999538467172,2
0.0253536449397011,,,0_0,,,,0.2488657612695192,1.0,0
0.0253536449397011,,,0_1,,,,0.1432050247649735,1.0,1
0.0253536449397011,,,0_2,,,,0.0665831152000291,1.0,2
0.0253536449397011,-4.018230530784063,4.018230530784063,1_0,,,0.0,0.0812708576327161,0.567514008437183,1
0.0253536449397011,-0.7515864454150685,1.7378284154341297,1_1,,,0.567514008437183,-0.0158214671471868,0.237619809461542,2
0.0253536449397011,-1.6074395275735518,2.2962820496340477,2_0,-5.358459175833543,1.6074395275735518,0.2099926673191177,0.010718753840481,0.1609830631726932,2
0.0278255940220712,,,0_0,,,,0.2487556072078521,1.0,0
0.0278255940220712,,,0_1,,,,0.143095212076137,1.0,1
0.0278255940220712,,,0_2,,,,0.066512014655147,1.0,2
0.0278255940220712,-4.020009885302535,4.020009885302535,1_0,,,0.0,0.0812158599587898,0.5675651811157534,1
0.0278255940220712,-0.7517413363357884,1.7383922466636834,1_1,,,0.5675651811157534,-0.0158026714295181,0.2375912308693729,2
0.0278255940220712,-1.6080105209167412,2.297155206691311,2_0,-5.360049662701189,1.6080105209167412,0.2099996732938812,0.0107133777276545,0.1610743229355108,2
0.0305385550883341,,,0_0,,,,0.2486348014508416,1.0,0
0.0305385550883341,,,0_1,,,,0.1429748198403476,1.0,1
0.0305385550883341,,,0_2,,,,0.0664340830748268,1.0,2
0.0305385550883341,-4.021963112825591,4.021963112825591,1_0,,,0.0,0.0811555553478481,0.5676213156867081,1
0.0305385550883341,-0.7519113396740484,1.7390111190801214,1_1,,,0.567621315686708,-0.015782078898868,0.2375599717556454,2
0.0305385550883341,-1.6086372767669417,2.2981136438066607,2_0,-5.361795487706878,1.6086372767669417,0.2100073576785482,0.010707471740807,0.1611743738337883,2
0.0335160265093884,,,0_0,,,,0.2485023234025043,1.0,0
0.0335160265093884,,,0_1,,,,0.1428428382446736,1.0,1
0.0335160265093884,,,0_2,,,,0.066348730852063,1.0,2
0.0335160265093884,-4.024107244986516,4.024107244986516,1_0,,,0.0,0.0810894335082308,0.5676828779426363,1
0.0335160265093884,-0.752097974235995,1.7396904630027576,1_1,,,0.5676828779426362,-0.0157594609685224,0.237524678560335,2
0.0335160265093884,-1.6093252847171504,2.2991657408244253,2_0,-5.363712040525491,1.6093252847171504,0.2100157839700852,0.0107010410366653,0.1612847887102059,2
0.0367837977182863,,,0_0,,,,0.2483570565940829,1.0,0
0.0367837977182863,,,0_1,,,,0.1426981699968152,1.0,1
0.0367837977182863,,,0_2,,,,0.0662551022283324,1.0,2
0.0367837977182863,-4.026460990131677,4.026460990131677,1_0,,,0.0,0.0810169424367387,0.5677503953873191,1
0.0367837977182863,-0.7523028467566015,1.7404361709728011,1_1,,,0.5677503953873191,-0.0157347876491316,0.2374879385878162,2
0.0367837977182863,-1.6100805254256692,2.3003206518407526,2_0,-5.365815955961988,1.6100805254256692,0.2100250240501712,0.0106938753887206,0.1614045564652025,2
0.0403701725859655,,,0_0,,,,0.2481977800690799,1.0,0
0.0403701725859655,,,0_1,,,,0.1425396134659032,1.0,1
0.0403701725859655,,,0_2,,,,0.0661525800343987,1.0,2
0.0403701725859655,-4.029044900086029,4.029044900086029,1_0,,,0.0,0.0809374754346839,0.5678244346722946,1
0.0403701725859655,-0.7525277591698735,1.7412547574253878,1_1,,,0.5678244346722946,-0.0157077065537979,0.2374466203076293,2
0.0403701725859655,-1.6109095973172265,2.3015884615944784,2_0,-5.368125671164032,1.6109095973172265,0.2100351550831324,0.0106860626729726,0.1615365971730201,2
0.0443062145758388,,,0_0,,,,0.2480231590745149,1.0,0
0.0443062145758388,,,0_1,,,,0.1423658585752207,1.0,1
0.0443062145758388,,,0_2,,,,0.0660402817801509,1.0,2
0.0443062145758388,-4.031881553849432,4.031881553849432,1_0,,,0.0,0.0808503711379186,0.5679056196974385,1
0.0443062145758388,-0.7527746771137681,1.742153361463899,1_1,,,0.5679056196974385,-0.0156780455062558,0.2374012509281569,2
0.0443062145758388,-1.6118197376648762,2.302980236814672,2_0,-5.37066138142469,1.6118197376648762,0.2100462619773337,0.0106774873299955,0.1616814320317573,2
0.0486260158006535,,,0_0,,,,0.2478317350202861,1.0,0
0.0486260158006535,,,0_1,,,,0.142175475674302,1.0,1
0.0486260158006535,,,0_2,,,,0.0659172964729021,1.0,2
0.0486260158006535,-4.034995759998798,4.034995759998798,1_0,,,0.0,0.0807549067911367,0.567994630636098,1
0.0486260158006535,-0.7530457677018847,1.7431398336800592,1_1,,,0.567994630636098,-0.0156455666590508,0.2373514615467055,2
0.0486260158006535,-1.612818903159589,2.30450814129782,2_0,-5.37344531017196,1.612818903159589,0.2100584372324958,0.0106680729977565,0.161840269073263,2
0.0533669923120631,,,0_0,,,,0.2476219146691556,1.0,0
0.0533669923120631,,,0_1,,,,0.1419669085496449,1.0,1
0.0533669923120631,,,0_2,,,,0.0657826344645265,1.0,2
0.0533669923120631,-4.038414779790743,4.038414779790743,1_0,,,0.0,0.0806502959252263,0.5680922177510365,1
0.0533669923120631,-0.7533433889179705,1.7442227713408562,1_1,,,0.5680922177510364,-0.0156100126687917,0.2372968610311511,2
0.0533669923120631,-1.613915817315312,2.3061855204722805,2_0,-5.376501776952409,1.613915817315312,0.2100717828065594,0.010657736054164,0.1620144304179735,2
0.0585702081805666,,,0_0,,,,0.2473919585235699,1.0,0
0.0585702081805666,,,0_1,,,,0.1417384601460251,1.0,1
0.0585702081805666,,,0_2,,,,0.0656352232360797,1.0,2
0.0585702081805666,-4.042168573174242,4.042168573174242,1_0,,,0.0,0.0805356790038974,0.5681991953413775,1
0.0585702081805666,-0.7536701516758065,1.7454116424624333,1_1,,,0.5681991953413775,-0.0155710989275905,0.2372369310238151,2
0.0585702081805666,-1.615120081112091,2.3080270542064136,2_0,-5.379857596686819,1.615120081112091,0.2100864092601122,0.0106463886226398,0.1622054149849759,2
0.0642807311728432,,,0_0,,,,0.2471399683798442,1.0,0
0.0642807311728432,,,0_1,,,,0.1414882830249866,1.0,1
