sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.01,,,0_0,,,
0.01,,,0_1,,,
0.01,,,0_2,,,
0.01,-2.0418324118451343,2.0418324118451343,1_0,,,0.0
0.01,-1.8583544398603937,1.9479343746654458,1_1,,,0.045987142056794016
0.01,-1.8695342981823766,1.9518884359774455,2_0,(-44.31012788168481+0j),(1.8695342981823766+0j),0.040411863705746266
0.0112332403297802,,,0_0,,,
0.0112332403297802,,,0_1,,,
0.0112332403297802,,,0_2,,,
0.0112332403297802,-2.0811558934993424,2.0811558934993424,1_0,,,0.0
0.0112332403297802,-1.8923387905100282,1.9845029670845449,1_1,,,0.04644194445822183
0.0112332403297802,-1.9039441753249364,1.988609858191221,2_0,(-44.71944273427296+0j),(1.9039441753249364+0j),0.04076265375345828
0.0126185688306602,,,0_0,,,
0.0126185688306602,,,0_1,,,
0.0126185688306602,,,0_2,,,
0.0126185688306602,-2.122023258139096,2.122023258139096,1_0,,,0.0
0.0126185688306602,-1.9271843702857487,2.022258652217492,1_1,,,0.04701390785372099
0.0126185688306602,-1.9392895548025293,2.0265454689645104,2_0,(-45.04059693878796+0j),(1.9392895548025293+0j),0.041202619398519234
0.014174741629268,,,0_0,,,
0.014174741629268,,,0_1,,,
0.014174741629268,,,0_2,,,
0.014174741629268,-2.164527616575509,2.164527616575509,1_0,,,0.0
0.014174741629268,-1.963102095593101,2.061356034281444,1_1,,,0.047664710537300724
0.014174741629268,-1.9757685575044228,2.0658452568940864,2_0,(-45.312851502076214+0j),(1.9757685575044228+0j),0.04170162314838993
0.0159228279334109,,,0_0,,,
0.0159228279334109,,,0_1,,,
0.0159228279334109,,,0_2,,,
0.0159228279334109,-2.2087686186230977,2.2087686186230977,1_0,,,0.0
0.0159228279334109,-1.9998028739141909,2.101690232011832,1_1,,,0.04847877034671758
0.0159228279334109,-2.0131400614266344,2.106421966720392,2_0,(-45.45921777776625+0j),(2.0131400614266344+0j),0.04232340976050845
0.0178864952905743,,,0_0,,,
0.0178864952905743,,,0_1,,,
0.0178864952905743,,,0_2,,,
0.0178864952905743,-2.254855181514603,2.254855181514603,1_0,,,0.0
0.0178864952905743,-2.037584856478517,2.1434688641093604,1_1,,,0.04939843512718336
0.0178864952905743,-2.0516819301563856,2.148475915136358,2_0,(-45.53990842895372+0j),(2.0516819301563856+0j),0.04302267645204143
0.0200923300256504,,,0_0,,,
0.0200923300256504,,,0_1,,,
0.0200923300256504,,,0_2,,,
0.0200923300256504,-2.302905032720709,2.302905032720709,1_0,,,0.0
0.0200923300256504,-2.0762589528288857,2.1866474776929796,1_1,,,0.05048300011328714
0.0200923300256504,-2.091245635861951,2.1919776824744583,2_0,(-45.50650876790917+0j),(2.091245635861951+0j),0.04384301875149189
0.0225701971963392,,,0_0,,,
0.0225701971963392,,,0_1,,,
0.0225701971963392,,,0_2,,,
0.0225701971963392,-2.353046051039349,2.353046051039349,1_0,,,0.0
0.0225701971963392,-2.116269095662624,2.231519356511512,1_1,,,0.05164654320052877
0.0225701971963392,-2.132239089008717,2.237207495891748,2_0,(-45.44473346422535+0j),(2.132239089008717+0j),0.044717959170164634
0.0253536449397011,,,0_0,,,
0.0253536449397011,,,0_1,,,
0.0253536449397011,,,0_2,,,
0.0253536449397011,-2.4054175261236828,2.4054175261236828,1_0,,,0.0
0.0253536449397011,-2.1578642423123116,2.278281033466599,1_1,,,0.052854230617485815
0.0253536449397011,-2.1748990984006378,2.284357540189397,2_0,(-45.38934661769329+0j),(2.1748990984006378+0j),0.04562051841404955
0.028480358684358,,,0_0,,,
0.028480358684358,,,0_1,,,
0.028480358684358,,,0_2,,,
0.028480358684358,-2.460171390926061,2.460171390926061,1_0,,,0.0
0.028480358684358,-2.2012453860258656,2.3271099937709923,1_1,,,0.05408623059590238
0.028480358684358,-2.2194212310729884,2.3336033959157625,2_0,(-45.359526410548895+0j),(2.2194212310729884+0j),0.046535449446896075
0.0319926713779738,,,0_0,,,
0.0319926713779738,,,0_1,,,
0.0319926713779738,,,0_2,,,
0.0319926713779738,-2.517473256912542,2.517473256912542,1_0,,,0.0
0.0319926713779738,-2.246588037171841,2.3781768863732045,1_1,,,0.055331817391447595
0.0319926713779738,-2.2659800478760084,2.385115441814653,2_0,(-45.365393308863105+0j),(2.2659800478760084+0j),0.047454573933599094
0.0359381366380462,,,0_0,,,
0.0359381366380462,,,0_1,,,
0.0359381366380462,,,0_2,,,
0.0359381366380462,-2.5775048427904723,2.5775048427904723,1_0,,,0.0
0.0359381366380462,-2.294077132423383,2.431665050650716,1_1,,,0.05658177230886069
0.0359381366380462,-2.3147599725982237,2.4390768956342495,2_0,(-45.41519714469758+0j),(2.3147599725982237+0j),0.04837101845171305
0.0403701725859655,,,0_0,,,
0.0403701725859655,,,0_1,,,
0.0403701725859655,,,0_2,,,
0.0403701725859655,-2.6404651000666806,2.6404651000666806,1_0,,,0.0
0.0403701725859655,-2.3437570429467964,2.487691434832001,1_1,,,0.05785861938899381
0.0403701725859655,-2.3658264765038806,2.4956126300184445,2_0,(-45.49165126873555+0j),(2.3658264765038806+0j),0.049301132931759216
0.0453487850812858,,,0_0,,,
0.0453487850812858,,,0_1,,,
0.0453487850812858,,,0_2,,,
0.0453487850812858,-2.7065726498685265,2.7065726498685265,1_0,,,0.0
0.0453487850812858,-2.3956003329607207,2.5463437201617976,1_1,,,0.05919993675932264
0.0453487850812858,-2.4191873025677864,2.5548235769125363,2_0,(-45.56743236590428+0j),(2.4191873025677864+0j),0.05027169352663935
0.0509413801481638,,,0_0,,,
0.0509413801481638,,,0_1,,,
0.0509413801481638,,,0_2,,,
0.0509413801481638,-2.7760681951071664,2.7760681951071664,1_0,,,0.0
0.0509413801481638,-2.4497445698154143,2.607807122162423,1_1,,,0.060611289463747366
0.0509413801481638,-2.474996465129002,2.6169013007500355,2_0,(-45.64200677589744+0j),(2.474996465129002+0j),0.051285794970704165
0.0572236765935021,,,0_0,,,
0.0572236765935021,,,0_1,,,
0.0572236765935021,,,0_2,,,
0.0572236765935021,-2.849217327958326,2.849217327958326,1_0,,,0.0
0.0572236765935021,-2.506235493253981,2.6722293306008424,1_1,,,0.0621181106898254
0.0572236765935021,-2.5333339395858325,2.682006579926614,2_0,(-45.700528890498745+0j),(2.5333339395858325+0j),0.0523605039494959
0.0642807311728431,,,0_0,,,
0.0642807311728431,,,0_1,,,
0.0642807311728431,,,0_2,,,
0.0642807311728431,-2.9263137321944472,2.9263137321944472,1_0,,,0.0
0.0642807311728431,-2.565264199336417,2.7398481441906504,1_1,,,0.06372029969047992
0.0642807311728431,-2.594409193337957,2.7503844521102185,2_0,(-45.74842679496496+0j),(2.594409193337957+0j),0.05349428422319151
0.0722080901838546,,,0_0,,,
0.0722080901838546,,,0_1,,,
0.0722080901838546,,,0_2,,,
