sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]","[0.0, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]",0.2495516646949641,1.0,,,,,,,
0.01,0,1,[0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.0, 0.0]","[1, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]","[0.0, 0.0, 0.14388950224627564, 0.06702679307617872]",0.14388950224627564,1.0,,,,,,,
0.01,0,2,[0.1438895  0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.0]","[1, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]","[0.0, 0.0, 0.0, 0.06702679307617872]",0.06702679307617872,1.0,,,,,,,
0.01,1,0,[1.],[-0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.06227603335202779, 0.01554108779359764]","[1, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]","[0.0, 0.0, 0.08161346889424785, 0.051485705282581076]",0.08161346889424785,0.5671954355263626,4.007186252283012,-4.007186252283012,[1],,,0.0,[]
0.01,1,1,[-0.32704037  1.        ],[-0.57659204  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.08296554095116308]","[1, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]","[0.0, 0.0, 0.0, -0.015938747874984366]",-0.015938747874984366,0.23779666523608434,1.734328500684096,-0.7506252913927967,[1],,,0.5671954355263626,[0.56719544]
0.01,2,0,[1.],[-0.08161347 -0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.05627464184177808]","[1, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]","[0.0, 0.0, 0.0, 0.01075215123440064]",0.01075215123440064,0.16041571945983416,2.290862184018421,-1.6038953256915514,[1],-5.348588660739136,1.6038953256915514,0.2099490340712379,[]
0.01097498765493056,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2495080201476123, 0.1438459136623333, 0.06699851307430368]","[0.0, 0.2495080201476123, 0.1438459136623333, 0.06699851307430368]",0.2495080201476123,1.0,,,,,,,
0.01097498765493056,0,1,[0.24950802 1.        ],[1.],"[1.0, 0.2495080201476123, 0.0, 0.0]","[1, 0.2495080201476123, 0.1438459136623333, 0.06699851307430368]","[0.0, 0.0, 0.1438459136623333, 0.06699851307430368]",0.1438459136623333,1.0,,,,,,,
0.01097498765493056,0,2,[0.14384591 0.24950802 1.        ],[1.],"[1.0, 0.2495080201476123, 0.1438459136623333, 0.0]","[1, 0.2495080201476123, 0.1438459136623333, 0.06699851307430368]","[0.0, 0.0, 0.0, 0.06699851307430368]",0.06699851307430368,1.0,,,,,,,
0.01097498765493056,1,0,[1.],[-0.24950802  1.        ],"[1.0, 0.2495080201476123, 0.06225425211798131, 0.015532935191727817]","[1, 0.2495080201476123, 0.1438459136623333, 0.06699851307430368]","[0.0, 0.0, 0.08159166154435199, 0.051465577882575865]",0.08159166154435199,0.5672157064946721,4.007887199010222,-4.007887199010222,[1],,,0.0,[]
