sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.01,0,1,[0.48975616 1.        ],[1.],"[1.0, 0.489756159319821, 0.0]",,,,,,,
0.01,0,2,[0.25142334 0.48975616 1.        ],[1.],"[1.0, 0.489756159319821, 0.25142333627329505]",,,,,,,
0.01,1,0,[1.],[-0.48975616  1.        ],"[1.0, 0.489756159319821, 0.2398610955917019]",(2.0418324118451343+0j),(-2.0418324118451343+0j),[1],,,0j,[]
0.01,1,1,[-0.02360816  1.        ],[-0.51336432  1.        ],"[1.0, 0.489756159319821, 0.25142333627329505]",(1.9479343746654458+0j),(-1.8583544398603937+0j),[1],,,(0.045987142056794016+0j),[0.04598714]
0.01,2,0,[1.],[-0.01156224 -0.48975616  1.        ],"[1.0, 0.489756159319821, 0.25142333627329505]",(1.9518884359774455+0j),(-1.8695342981823766+0j),[1],(-44.31012788168481+0j),(1.8695342981823766+0j),(0.040411863705746266+0j),[]
0.011233240329780276,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.011233240329780276,0,1,[0.48050221 1.        ],[1.],"[1.0, 0.4805022070300357, 0.0]",,,,,,,
0.011233240329780276,0,2,[0.24212723 0.48050221 1.        ],[1.],"[1.0, 0.4805022070300357, 0.2421272303442039]",,,,,,,
0.011233240329780276,1,0,[1.],[-0.48050221  1.        ],"[1.0, 0.4805022070300357, 0.2308823709607353]",(2.0811558934993424+0j),(-2.0811558934993424+0j),[1],,,0j,[]
0.011233240329780276,1,1,[-0.02340231  1.        ],[-0.50390451  1.        ],"[1.0, 0.4805022070300357, 0.24212723034420391]",(1.9845029670845449+0j),(-1.8923387905100282+0j),[1],,,(0.04644194445822183+0j),[0.04644194]
0.011233240329780276,2,0,[1.],[-0.01124486 -0.48050221  1.        ],"[1.0, 0.4805022070300357, 0.2421272303442039]",(1.988609858191221+0j),(-1.9039441753249364+0j),[1],(-44.71944273427296+0j),(1.9039441753249364+0j),(0.04076265375345828+0j),[]
0.012618568830660204,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.012618568830660204,0,1,[0.47124837 1.        ],[1.],"[1.0, 0.4712483692930623, 0.0]",,,,,,,
0.012618568830660204,0,2,[0.23303071 0.47124837 1.        ],[1.],"[1.0, 0.4712483692930623, 0.2330307098828919]",,,,,,,
0.012618568830660204,1,0,[1.],[-0.47124837  1.        ],"[1.0, 0.4712483692930623, 0.22207502556137043]",(2.122023258139096+0j),(-2.122023258139096+0j),[1],,,0j,[]
0.012618568830660204,1,1,[-0.02324822  1.        ],[-0.49449659  1.        ],"[1.0, 0.4712483692930623, 0.2330307098828919]",(2.022258652217492+0j),(-1.9271843702857487+0j),[1],,,(0.04701390785372099+0j),[0.04701391]
0.012618568830660204,2,0,[1.],[-0.01095568 -0.47124837  1.        ],"[1.0, 0.4712483692930623, 0.2330307098828919]",(2.0265454689645104+0j),(-1.9392895548025293+0j),[1],(-45.04059693878796+0j),(1.9392895548025293+0j),(0.041202619398519234+0j),[]
0.014174741629268055,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.014174741629268055,0,1,[0.46199457 1.        ],[1.],"[1.0, 0.4619945674715374, 0.0]",,,,,,,
0.014174741629268055,0,2,[0.22412168 0.46199457 1.        ],[1.],"[1.0, 0.4619945674715374, 0.22412167514409095]",,,,,,,
0.014174741629268055,1,0,[1.],[-0.46199457  1.        ],"[1.0, 0.4619945674715374, 0.2134389803732129]",(2.164527616575509+0j),(-2.164527616575509+0j),[1],,,0j,[]
0.014174741629268055,1,1,[-0.02312299  1.        ],[-0.48511756  1.        ],"[1.0, 0.4619945674715374, 0.22412167514409095]",(2.061356034281444+0j),(-1.963102095593101+0j),[1],,,(0.047664710537300724+0j),[0.04766471]
0.014174741629268055,2,0,[1.],[-0.01068269 -0.46199457  1.        ],"[1.0, 0.4619945674715374, 0.22412167514409095]",(2.0658452568940864+0j),(-1.9757685575044228+0j),[1],(-45.312851502076214+0j),(1.9757685575044228+0j),(0.04170162314838993+0j),[]
0.015922827933410922,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.015922827933410922,0,1,[0.45274095 1.        ],[1.],"[1.0, 0.4527409487660052, 0.0]",,,,,,,
0.015922827933410922,0,2,[0.21541754 0.45274095 1.        ],[1.],"[1.0, 0.4527409487660052, 0.21541754435077773]",,,,,,,
0.015922827933410922,1,0,[1.],[-0.45274095  1.        ],"[1.0, 0.4527409487660052, 0.20497436668954253]",(2.2087686186230977+0j),(-2.2087686186230977+0j),[1],,,0j,[]
0.015922827933410922,1,1,[-0.02306656  1.        ],[-0.47580751  1.        ],"[1.0, 0.4527409487660052, 0.21541754435077773]",(2.101690232011832+0j),(-1.9998028739141909+0j),[1],,,(0.04847877034671758+0j),[0.04847877]
0.015922827933410922,2,0,[1.],[-0.01044318 -0.45274095  1.        ],"[1.0, 0.4527409487660052, 0.21541754435077773]",(2.106421966720392+0j),(-2.0131400614266344+0j),[1],(-45.45921777776625+0j),(2.0131400614266344+0j),(0.04232340976050845+0j),[]
0.01788649529057435,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.01788649529057435,0,1,[0.44348746 1.        ],[1.],"[1.0, 0.4434874612782417, 0.0]",,,,,,,
0.01788649529057435,0,2,[0.20690175 0.44348746 1.        ],[1.],"[1.0, 0.4434874612782417, 0.20690175103733852]",,,,,,,
0.01788649529057435,1,0,[1.],[-0.44348746  1.        ],"[1.0, 0.4434874612782417, 0.19668112831101991]",(2.254855181514603+0j),(-2.254855181514603+0j),[1],,,0j,[]
0.01788649529057435,1,1,[-0.02304602  1.        ],[-0.46653349  1.        ],"[1.0, 0.4434874612782417, 0.20690175103733852]",(2.1434688641093604+0j),(-2.037584856478517+0j),[1],,,(0.04939843512718336+0j),[0.04939844]
0.01788649529057435,2,0,[1.],[-0.01022062 -0.44348746  1.        ],"[1.0, 0.4434874612782417, 0.20690175103733852]",(2.148475915136358+0j),(-2.0516819301563856+0j),[1],(-45.53990842895372+0j),(2.0516819301563856+0j),(0.04302267645204143+0j),[]
0.02009233002565047,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.02009233002565047,0,1,[0.43423415 1.        ],[1.],"[1.0, 0.4342341459120333, 0.0]",,,,,,,
0.02009233002565047,0,2,[0.19858443 0.43423415 1.        ],[1.],"[1.0, 0.4342341459120333, 0.198584431346095]",,,,,,,
0.02009233002565047,1,0,[1.],[-0.43423415  1.        ],"[1.0, 0.4342341459120333, 0.18855929347595302]",(2.302905032720709+0j),(-2.302905032720709+0j),[1],,,0j,[]
0.02009233002565047,1,1,[-0.02308694  1.        ],[-0.45732109  1.        ],"[1.0, 0.4342341459120333, 0.198584431346095]",(2.1866474776929796+0j),(-2.0762589528288857+0j),[1],,,(0.05048300011328714+0j),[0.050483]
0.02009233002565047,2,0,[1.],[-0.01002514 -0.43423415  1.        ],"[1.0, 0.4342341459120333, 0.198584431346095]",(2.1919776824744583+0j),(-2.091245635861951+0j),[1],(-45.50650876790917+0j),(2.091245635861951+0j),(0.04384301875149189+0j),[]
0.0225701971963392,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0225701971963392,0,1,[0.42498106 1.        ],[1.],"[1.0, 0.4249810578753001, 0.0]",,,,,,,
0.0225701971963392,0,2,[0.19044471 0.42498106 1.        ],[1.],"[1.0, 0.4249810578753001, 0.19044471052210107]",,,,,,,
0.0225701971963392,1,0,[1.],[-0.42498106  1.        ],"[1.0, 0.4249810578753001, 0.18060889955280918]",(2.353046051039349+0j),(-2.353046051039349+0j),[1],,,0j,[]
0.0225701971963392,1,1,[-0.02314412  1.        ],[-0.44812517  1.        ],"[1.0, 0.4249810578753001, 0.19044471052210107]",(2.231519356511512+0j),(-2.116269095662624+0j),[1],,,(0.05164654320052877+0j),[0.05164654]
0.0225701971963392,2,0,[1.],[-0.00983581 -0.42498106  1.        ],"[1.0, 0.4249810578753001, 0.19044471052210107]",(2.237207495891748+0j),(-2.132239089008717+0j),[1],(-45.44473346422535+0j),(2.132239089008717+0j),(0.044717959170164634+0j),[]
0.025353644939701117,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.025353644939701117,0,1,[0.41572824 1.        ],[1.],"[1.0, 0.4157282422447028, 0.0]",,,,,,,
0.025353644939701117,0,2,[0.18247452 0.41572824 1.        ],[1.],"[1.0, 0.4157282422447028, 0.18247452186007831]",,,,,,,
0.025353644939701117,1,0,[1.],[-0.41572824  1.        ],"[1.0, 0.4157282422447028, 0.17282997139987027]",(2.4054175261236828+0j),(-2.4054175261236828+0j),[1],,,0j,[]
0.025353644939701117,1,1,[-0.02319917  1.        ],[-0.43892741  1.        ],"[1.0, 0.4157282422447028, 0.18247452186007831]",(2.278281033466599+0j),(-2.1578642423123116+0j),[1],,,(0.052854230617485815+0j),[0.05285423]
0.025353644939701117,2,0,[1.],[-0.00964455 -0.41572824  1.        ],"[1.0, 0.4157282422447028, 0.18247452186007831]",(2.284357540189397+0j),(-2.1748990984006378+0j),[1],(-45.38934661769329+0j),(2.1748990984006378+0j),(0.04562051841404955+0j),[]
0.02848035868435802,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.02848035868435802,0,1,[0.40647575 1.        ],[1.],"[1.0, 0.4064757454250285, 0.0]",,,,,,,
