sigma,u2_GQ,u3_GQ
0.01,0.48975615931982097,0.12571166813664753
0.011233240329780276,0.48050220703003566,0.12106361517210196
0.012618568830660204,0.4712483692930623,0.11651535494144594
0.014174741629268055,0.4619945674715374,0.11206083757204549
0.015922827933410922,0.4527409487660052,0.10770877217538886
0.01788649529057435,0.4434874612782417,0.10345087551866926
0.02009233002565047,0.43423414591203324,0.0992922156730475
0.022570197196339202,0.42498105787530005,0.09522235526105054
0.025353644939701114,0.4157282422447028,0.09123726093003917
0.02848035868435802,0.40647574542502846,0.08733488028349493
0.03199267137797385,0.3972236834112039,0.08351432681212008
0.03593813663804628,0.38797211295144435,0.07977499056616015
0.040370172585965536,0.3787211578652362,0.07611899783117838
0.04534878508128582,0.3694709617525233,0.0725493103753186
0.0509413801481638,0.360221698358313,0.06906601628950478
0.05722367659350217,0.3509735779673127,0.06567055715393959
0.06428073117284319,0.3417268589482709,0.06236237210314749
0.07220809018385464,0.3324818556697395,0.059140108920179776
0.08111308307896872,0.3232389514651411,0.056003567932724686
0.09111627561154892,0.31399861080956526,0.05295243016587902
0.10235310218990264,0.3047614005915244,0.049987250078792844
0.11497569953977356,0.29552800696554127,0.04710861032843799
0.1291549665014884,0.2862992619328552,0.044316923306546074
0.14508287784959395,0.2770761718549051,0.041611864043850796
0.16297508346206444,0.26785995059783324,0.03899359023475237
0.18307382802953678,0.25865206050837924,0.03646166581581737
0.20565123083486514,0.24945426245449148,0.034016868758450586
0.23101297000831592,0.24026866357878038,0.03165926618119525
0.25950242113997357,0.23109778964266983,0.02938934382345902
0.2915053062825176,0.2219446527485588,0.02720716307802688
0.32745491628777285,0.21281283667818374,0.02511292926578118
0.36783797718286326,0.20370659195831758,0.023106921245064915
0.41320124001153363,0.1946309412126038,0.02118941653156308
0.464158883361278,0.18559179768776685,0.01936074842519446
0.5214008287999684,0.1765960922118638,0.017621169351389656
0.5857020818056667,0.1676519108364828,0.01597091501810626
0.6579332246575679,0.1587686382337254,0.014410180314038802
0.739072203352578,0.14995710359411749,0.012939089813274655
0.8302175681319743,0.14122972316154225,0.011557677298730822
0.9326033468832199,0.13260063156293395,0.010265846994019215
1.0476157527896652,0.12408579196133279,0.009063306108843693
1.1768119524349978,0.1157030720871691,0.007949552806694534
1.3219411484660286,0.10747227172204875,0.00692381086372622
1.484968262254465,0.09941508382974686,0.005984971934738067
1.6681005372000592,0.09155497110796917,0.00513154061710584
1.873817422860383,0.08391693887731935,0.004361579727403374
2.1049041445120196,0.07652718712327397,0.0036726638121626124
2.364489412645407,0.06941262831129975,0.0030618369061722927
2.656087782946687,0.06260026477139467,0.0025255937767032287
2.9836472402833403,0.05611642977616619,0.0020598783832011204
3.351602650938841,0.049985910090457976,0.0016601107025688107
3.7649358067924674,0.04423098399156194,0.001321238079672786
4.229242874389499,0.038870426066730086,0.0010378237902378103
4.750810162102798,0.0339185459803133,0.0008041581604421803
5.336699231206307,0.0293843400631868,0.0006143950662694491
5.994842503189409,0.025270838484523744,0.00046270184277290576
6.7341506577508214,0.021574724228142023,0.000343412461844762
7.56463327554629,0.01828628158104983,0.0002511712131989326
8.497534359086439,0.015389702098764719,0.00018105501717046476
9.545484566618338,0.012863738405426496,0.00012866503287686315
10.722672220103231,0.01068265649046917,9.018158699839013e-05
12.045035402587823,0.008817402499896303,6.238074580560145e-05
13.530477745798061,0.007236877093409934,4.261818853238895e-05
15.199110829529332,0.005909203717737184,2.878317412266107e-05
17.073526474706906,0.004802887471731455,1.923586783945455e-05
19.179102616724887,0.0038877855922584185,1.273403622555543e-05
21.544346900318846,0.0031358430521384304,8.359197149268374e-06
24.20128264794381,0.002521580347768799,5.447060320359979e-06
27.1858824273294,0.002022349180568949,3.526508333598388e-06
30.538555088334157,0.0016183916147389586,2.271253520587792e-06
34.30469286314919,0.0012927483525638891,1.4559274429604375e-06
38.53528593710527,0.0010310632031931073,9.297160194706318e-07
43.28761281083057,0.0008213261086688494,5.91805298064749e-07
48.62601580065353,0.0006535890254513696,3.7462620266070677e-07
54.62277217684343,0.0005196798834167052,2.3730845118550627e-07
61.35907273413169,0.00041293140768347125,1.507732307656994e-07
68.92612104349695,0.000327934589980258,9.600560416230993e-08
77.4263682681127,0.00026032137322346693,6.089398497462714e-08
86.97490026177834,0.00020657748065516958,3.836610857983573e-08
97.70099572992247,0.0001638840708548585,2.389749046659623e-08
109.74987654930568,0.0001299856157449,1.4556231081925515e-08
123.28467394420659,0.00010308085361745547,8.54073525395197e-09
138.48863713938718,8.173355284296326e-05,5.1313919786371746e-09
155.56761439304722,6.479996460541012e-05,3.195136500676136e-09
174.7528400007683,5.137017523209323e-05,2.0761837245422913e-09
196.30406500402725,4.0720870786695216e-05,1.4442709813519883e-09
220.51307399030455,3.227743673415105e-05,1.034411195706504e-09
247.70763559917089,2.5583618148299653e-05,7.426452741653751e-10
278.2559402207126,2.027728224143055e-05,5.263012355101601e-10
312.5715849688235,1.607109798192039e-05,3.633377795342049e-10
351.11917342151276,1.2737135558895533e-05,2.412129929611161e-10
394.4206059437656,1.0094633238806032e-05,1.5475517118510594e-10
443.06214575838777,8.000245501167479e-06,9.08385398106446e-11
497.7023564332114,6.340321695094141e-06,5.4574981959764893e-11
559.0810182512223,5.024761070308047e-06,3.4759801123201863e-11
628.0291441834247,3.982138357523168e-06,1.554462287718987e-11
705.4802310718645,3.1558438377284954e-06,5.98571744304532e-12
792.482898353917,2.500986956327995e-06,1.8671395576420573e-12
890.2150854450392,1.9820089531742847e-06,3.1901117269104466e-13
1000.0,1.5706944634538229e-06,7.663760528113006e-14
