,sigma,residues,poles,poly_type,pole_2,res_2,remainder
0,0.01,,,0_0,,,
1,0.01,,,0_1,,,
2,0.01,,,0_2,,,
3,0.01,-2.0418324118451348,2.0418324118451348,1_0,,,0.0
4,0.01,-1.851316941218892,1.9442425093538944,1_1,,,0.0477952558325057
5,0.01,-1.8633261244893675,1.948499472900418,2_0,-42.62706631993888,1.8633261244893675,0.0418015137070609
6,2.05061224489796,,,0_0,,,
7,2.05061224489796,,,0_1,,,
8,2.05061224489796,,,0_2,,,
9,2.05061224489796,-12.79349898364451,12.79349898364451,1_0,,,0.0
10,2.05061224489796,-8.179382666660445,10.22951239467258,1_1,,,0.2004132405255034
11,2.05061224489796,-9.040531389340336,10.59447359606475,2_0,-61.63657225107271,9.040531389340336,0.1251612971030879
12,4.09122448979592,,,0_0,,,
13,4.09122448979592,,,0_1,,,
14,4.09122448979592,,,0_2,,,
15,4.09122448979592,-24.7778151995218,24.7778151995218,1_0,,,0.0
16,4.09122448979592,-13.258112765951756,18.12476394354347,1_1,,,0.2685083895575559
17,4.09122448979592,-15.77124254894938,19.27427935656218,2_0,-86.77594652386813,15.77124254894938,0.1487148416518336
18,6.13183673469388,,,0_0,,,
19,6.13183673469388,,,0_1,,,
20,6.13183673469388,,,0_2,,,
21,6.13183673469388,-40.78261630809822,40.78261630809822,1_0,,,0.0
22,6.13183673469388,-19.28559329482391,28.04490954909349,1_1,,,0.3123317705459568
23,6.13183673469388,-24.2996645747698,30.453877255835117,2_0,-120.24592594838698,24.2996645747698,0.1612454963981598
24,8.17244897959184,,,0_0,,,
25,8.17244897959184,,,0_1,,,
26,8.17244897959184,,,0_2,,,
27,8.17244897959184,-61.278920574607625,61.278920574607625,1_0,,,0.0
28,8.17244897959184,-26.52279728670514,40.31486560002927,1_1,,,0.3421087509048799
29,8.17244897959184,-34.91672286436898,44.48557150072151,2_0,-162.3278233969276,34.91672286436898,0.1688320182628842
30,10.2130612244898,,,0_0,,,
31,10.2130612244898,,,0_1,,,
32,10.2130612244898,,,0_2,,,
33,10.2130612244898,-86.53711923888602,86.53711923888602,1_0,,,0.0
34,10.2130612244898,-35.10642371960232,55.11813472419112,1_1,,,0.3630694526352638
35,10.2130612244898,-47.781259736384335,61.56793437706618,2_0,-213.37947986547792,47.781259736384335,0.1737832664039321
36,12.2536734693878,,,0_0,,,
37,12.2536734693878,,,0_1,,,
38,12.2536734693878,,,0_2,,,
39,12.2536734693878,-116.7290495144334,116.7290495144334,1_0,,,0.0
40,12.2536734693878,-45.13444483413255,72.58443941954724,1_1,,,0.378180155484156
41,12.2536734693878,-63.00268261996858,81.83578015693968,2_0,-273.76663207227284,63.00268261996858,0.1771716964039001
42,14.2942857142857,,,0_0,,,
43,14.2942857142857,,,0_1,,,
44,14.2942857142857,,,0_2,,,
45,14.2942857142857,-151.9672341510162,151.9672341510162,1_0,,,0.0
46,14.2942857142857,-56.66053234939879,92.7930190621165,1_1,,,0.3893879849790239
47,14.2942857142857,-80.64669460007946,105.3733556506817,2_0,-343.6781381341864,80.64669460007946,0.1795934223942605
48,16.3348979591837,,,0_0,,,
49,16.3348979591837,,,0_1,,,
50,16.3348979591837,,,0_2,,,
51,16.3348979591837,-192.3266657587256,192.3266657587256,1_0,,,0.0
52,16.3348979591837,-69.72871405879584,115.8045382641448,1_1,,,0.3978758077706085
53,16.3348979591837,-100.76300426235667,132.24220860610566,2_0,-423.2992068011576,100.76300426235667,0.1813780241541273
54,18.3755102040816,,,0_0,,,
55,18.3755102040816,,,0_1,,,
56,18.3755102040816,,,0_2,,,
57,18.3755102040816,-237.8581169929981,237.8581169929981,1_0,,,0.0
58,18.3755102040816,-84.38745956778035,141.67654086197544,1_1,,,0.4043653306725454
59,18.3755102040816,-123.39791871339276,162.495259234244,2_0,-512.8629344905211,123.39791871339276,0.1827147724866165
60,20.4161224489796,,,0_0,,,
61,20.4161224489796,,,0_1,,,
62,20.4161224489796,,,0_2,,,
63,20.4161224489796,-288.5965100238651,288.5965100238651,1_0,,,0.0
64,20.4161224489796,-100.64003002931344,170.42406354490214,1_1,,,0.4094728881828503
65,20.4161224489796,-148.56366404865923,196.1521543071218,2_0,-612.3556892986721,148.56366404865923,0.1837504301579723
66,22.4567346938776,,,0_0,,,
67,22.4567346938776,,,0_1,,,
68,22.4567346938776,,,0_2,,,
69,22.4567346938776,-344.56625012923723,344.56625012923723,1_0,,,0.0
70,22.4567346938776,-118.51059094535997,202.0760993354796,1_1,,,0.4135348448674631
71,22.4567346938776,-176.28332687132402,233.23925978841007,2_0,-721.8948152839682,176.28332687132402,0.1845639596283543
72,24.4973469387755,,,0_0,,,
73,24.4973469387755,,,0_1,,,
74,24.4973469387755,,,0_2,,,
75,24.4973469387755,-405.78466422373896,405.78466422373896,1_0,,,0.0
76,24.4973469387755,-138.05639647164193,236.68791368843617,1_1,,,0.4167154785378171
77,24.4973469387755,-206.600070113298,273.7989220788948,2_0,-841.7833764095412,206.600070113298,0.1851948264088017
