solution variable
x	solution variable
0.5	1.58806635552676e-83
1.5	3.4474068304116e-83
2.5	9.19308488109759e-83
3.5	2.41318478128812e-82
4.5	6.32024585575459e-82
5.5	1.65475527859757e-81
6.5	4.33224125021724e-81
7.5	1.13419684720541e-80
8.5	2.96936641659452e-80
9.5	7.77390240257815e-80
10.5	2.03523407911399e-79
11.5	5.32831199708416e-79
12.5	1.39497019121385e-78
13.5	3.65207937393313e-78
14.5	9.56126793058555e-78
15.5	2.50317244178235e-77
16.5	6.5533905322885e-77
17.5	1.71569991550831e-76
18.5	4.49176069329609e-76
19.5	1.175958216438e-75
20.5	3.07869857998438e-75
21.5	8.06013752351514e-75
22.5	2.1101713990561e-74
23.5	5.5245004448168e-74
24.5	1.44633299353943e-73
25.5	3.78654893613661e-73
26.5	9.91331381487039e-73
27.5	2.59533925084746e-72
28.5	6.79468637105533e-72
29.5	1.77887198623185e-71
30.5	4.65714732159003e-71
31.5	1.21925699785382e-70
32.5	3.19205626140247e-70
33.5	8.35691178635358e-70
34.5	2.18786790976583e-69
35.5	5.72791255066212e-69
36.5	1.49958697422205e-68
37.5	3.92596966759995e-68
38.5	1.02783220285778e-67
39.5	2.69089964181334e-67
40.5	7.04486672258225e-67
41.5	1.84437005259334e-66
42.5	4.8286234855218e-66
43.5	1.26415004039721e-65
44.5	3.30958777263944e-65
45.5	8.66461327752111e-65
46.5	2.26842520599239e-64
47.5	5.93881429022505e-64
48.5	1.55480176646828e-63
49.5	4.07052387038233e-63
50.5	1.06567698446787e-62
51.5	2.78997856636538e-62
52.5	7.30425871462826e-62
53.5	1.91227975775194e-61
54.5	5.006413401793e-61
55.5	1.3106960447627e-60
56.5	3.43144679410881e-60
57.5	8.98364433756374e-60
58.5	2.35194862185824e-59
59.5	6.15748143181835e-59
60.5	1.61204956735968e-58
61.5	4.22040055889721e-58
62.5	1.10491521093319e-57
63.5	2.89270557690986e-57
64.5	7.57320151979639e-57
65.5	1.98268989824793e-56
66.5	5.19074954276415e-56
67.5	1.35895587300445e-55
68.5	3.55779266473694e-55
69.5	9.31442212120638e-55
70.5	2.43854736988822e-54
71.5	6.38419989754402e-54
72.5	1.67140523227438e-53
73.5	4.37579570706875e-53
74.5	1.14559818889319e-52
75.5	2.99921499597268e-52
76.5	7.85204679902487e-52
77.5	2.05569254011019e-51
78.5	5.38187294042809e-51
79.5	1.40899262811741e-50
80.5	3.68879059030941e-50
81.5	9.65737914281083e-50
82.5	2.52833468381231e-49
83.5	6.61926613715584e-49
84.5	1.73294637276552e-48
85.5	4.53691250458098e-48
86.5	1.18777911409774e-47
87.5	3.10964609183513e-47
88.5	8.14115916140764e-47
89.5	2.13138313923878e-46
90.5	5.58003350157557e-46
91.5	1.46087173654879e-45
92.5	3.82461185948882e-45
93.5	1.00129638419177e-44
94.5	2.62142796662642e-44
95.5	6.8629875156875e-44
96.5	1.79675345804361e-43
97.5	4.70396162256207e-43
98.5	1.23151314096426e-42
99.5	3.22414326063657e-42
100.5	8.44091664094546e-42
101.5	2.20986066621998e-41
102.5	5.7854903345654e-41
103.5	1.51466103374762e-40
104.5	3.96543406778632e-40
105.5	1.03816411696113e-39
106.5	2.71794894410477e-39
107.5	7.11568271535318e-39
108.5	1.86290992019548e-38
109.5	4.87716148905111e-38
110.5	1.27685745469579e-37
111.5	3.34285621518225e-37
112.5	8.75171119085096e-37
113.5	2.29122773573706e-36
114.5	5.99851208812609e-36
115.5	1.57043085286412e-35
116.5	4.11144134977975e-35
117.5	1.07638931964751e-34
118.5	2.81802382396457e-34
119.5	7.37768215224619e-34
120.5	1.9315022632774e-33
121.5	5.05673857460758e-33
122.5	1.32387134605453e-32
123.5	2.23334501629501e-32
124.5	2.91097337401484e-32
125.5	4.03438477693385e-32
126.5	6.72699062797106e-32
127.5	1.1216206449348e-31
128.5	1.70608674048103e-31
129.5	2.51752537921888e-31
130.5	3.87433713412309e-31
131.5	6.1472576285716e-31
132.5	9.63705509396039e-31
133.5	1.48752986010995e-30
134.5	2.31559271310228e-30
135.5	3.48709601614436e-30
136.5	5.18746694075201e-30
137.5	7.73656982739611e-30
138.5	1.13169248470577e-29
139.5	1.63534433985144e-29
140.5	2.35439090545072e-29
141.5	3.37679002292608e-29
142.5	4.77830772348769e-29
143.5	6.69828425934353e-29
144.5	9.3212021748632e-29
145.5	1.27456244888592e-28
146.5	1.72405298944433e-28
147.5	2.30409749090062e-28
148.5	3.04253782105639e-28
149.5	3.95206227726407e-28
150.5	5.05867110188379e-28
151.5	6.36456785222587e-28
