solution variable
x	solution variable
0.5	1.65144241206834e-13
1.5	1.59434346743175e-13
2.5	1.49168534436236e-13
3.5	1.35900161129221e-13
4.5	1.21006398603764e-13
5.5	1.05505480845604e-13
6.5	9.00986759662172e-14
7.5	7.52710494593091e-14
8.5	6.13749566152421e-14
9.5	4.86794187319059e-14
10.5	3.73913279567598e-14
11.5	2.76587339425356e-14
12.5	1.95648542851727e-14
13.5	1.31192207501223e-14
14.5	8.25093671584997e-15
15.5	4.80835323311916e-15
16.5	2.56919910704566e-15
17.5	1.26496468398474e-15
18.5	6.22863574963709e-16
19.5	4.27788305827019e-16
20.5	6.05214967691384e-16
21.5	1.32395354319157e-15
22.5	3.11502498585461e-15
23.5	6.99990968742483e-15
24.5	1.46181934998993e-14
25.5	2.83415739712438e-14
26.5	5.1358697267881e-14
27.5	8.77138360351884e-14
28.5	1.42282443820307e-13
29.5	2.20668515678959e-13
30.5	3.29012689800555e-13
31.5	4.7370617784677e-13
32.5	6.61013686685709e-13
33.5	8.96617982326358e-13
34.5	1.18510885275576e-12
35.5	1.5294489296715e-12
36.5	1.93045695807136e-12
37.5	2.38635447871182e-12
38.5	2.89242345838115e-12
39.5	3.4408194124287e-12
40.5	4.02057668995629e-12
41.5	4.61783004085225e-12
42.5	5.2162601497422e-12
43.5	5.79775183904548e-12
44.5	6.34323388532071e-12
45.5	6.83365090309767e-12
46.5	7.25100258576537e-12
47.5	7.57937559909331e-12
48.5	7.80588997279499e-12
49.5	7.92148562737465e-12
50.5	7.92148562737465e-12
51.5	7.80588997279499e-12
52.5	7.57937559909331e-12
53.5	7.25100258576537e-12
54.5	6.83365090309767e-12
55.5	6.34323388532071e-12
56.5	5.79775183904548e-12
57.5	5.2162601497422e-12
58.5	4.61783004085225e-12
59.5	4.02057668995629e-12
60.5	3.4408194124287e-12
61.5	2.89242345838115e-12
62.5	2.38635447871182e-12
63.5	1.93045695807136e-12
64.5	1.5294489296715e-12
65.5	1.18510885275576e-12
66.5	8.96617982326358e-13
67.5	6.61013686685709e-13
68.5	4.7370617784677e-13
69.5	3.29012689800555e-13
70.5	2.20668515678959e-13
71.5	1.42282443820307e-13
72.5	8.77138360351884e-14
73.5	5.1358697267881e-14
74.5	2.83415739712438e-14
75.5	1.46181934998993e-14
76.5	6.99990968742482e-15
77.5	3.11502498585461e-15
78.5	1.32395354319157e-15
79.5	6.05214967691384e-16
80.5	4.27788305827019e-16
81.5	6.22863574963709e-16
82.5	1.26496468398474e-15
83.5	2.56919910704566e-15
84.5	4.80835323311917e-15
85.5	8.25093671584997e-15
86.5	1.31192207501223e-14
87.5	1.95648542851727e-14
88.5	2.76587339425356e-14
89.5	3.73913279567598e-14
90.5	4.86794187319059e-14
91.5	6.13749566152421e-14
92.5	7.52710494593091e-14
93.5	9.00986759662172e-14
94.5	1.05505480845604e-13
95.5	1.21006398603764e-13
96.5	1.35900161129221e-13
97.5	1.49168534436236e-13
98.5	1.59434346743175e-13
99.5	1.65144241206834e-13
