solution variable
x	solution variable
0.5	0
1.5	0
2.5	0
3.5	0
4.5	0
5.5	0
6.5	0
7.5	0
8.5	0
9.5	0
10.5	2.02534171638457e-308
11.5	8.73171710264583e-293
12.5	1.3848620792111e-277
13.5	8.08014042772094e-263
14.5	1.7343502716865e-248
15.5	1.36949432542311e-234
16.5	3.97822356423032e-221
17.5	4.25131875134632e-208
18.5	1.67133579025813e-195
19.5	2.4171822499403e-183
20.5	1.28605909123186e-171
21.5	2.51720656566857e-160
22.5	1.81252796539063e-149
23.5	4.80134203707217e-139
24.5	4.67911694713276e-129
25.5	1.67771843033848e-119
26.5	2.21366208354705e-110
27.5	1.07539147624894e-101
28.5	1.92618630991015e-93
29.5	1.27693407374327e-85
30.5	3.16559395791788e-78
31.5	3.0160686513994e-71
32.5	1.1840608736812e-64
33.5	2.24406497770555e-58
34.5	2.68319949353433e-52
35.5	2.4896671606147e-46
36.5	1.61177359077312e-40
37.5	5.50610336630056e-35
38.5	8.10932680764163e-30
39.5	4.67695966432477e-25
40.5	1.01598107242253e-20
41.5	8.19058089942771e-17
42.5	2.43698384863446e-13
43.5	2.67062573794381e-10
44.5	1.07713262118679e-07
45.5	1.59845659587984e-05
46.5	0.000872697622077667
47.5	0.0175283786059679
48.5	0.129517593481173
49.5	0.352064876101818
50.5	0.352064876101818
51.5	0.129517593481173
52.5	0.0175283786059679
53.5	0.000872697622077667
54.5	1.59845659587984e-05
55.5	1.07713262118679e-07
56.5	2.67062573794381e-10
57.5	2.43698384863446e-13
58.5	8.19058089942771e-17
59.5	1.01598107242253e-20
60.5	4.67695966432477e-25
61.5	8.10932680764163e-30
62.5	5.50610336630056e-35
63.5	1.61177359077312e-40
64.5	2.4896671606147e-46
65.5	2.68319949353433e-52
66.5	2.24406497770555e-58
67.5	1.1840608736812e-64
68.5	3.0160686513994e-71
69.5	3.16559395791788e-78
70.5	1.27693407374327e-85
71.5	1.92618630991015e-93
72.5	1.07539147624894e-101
73.5	2.21366208354705e-110
74.5	1.67771843033848e-119
75.5	4.67911694713276e-129
76.5	4.80134203707217e-139
77.5	1.81252796539063e-149
78.5	2.51720656566857e-160
79.5	1.28605909123186e-171
80.5	2.4171822499403e-183
81.5	1.67133579025813e-195
82.5	4.25131875134632e-208
83.5	3.97822356423032e-221
84.5	1.36949432542311e-234
85.5	1.7343502716865e-248
86.5	8.08014042772094e-263
87.5	1.3848620792111e-277
88.5	8.73171710264583e-293
89.5	2.02534171638457e-308
90.5	0
91.5	0
92.5	0
93.5	0
94.5	0
95.5	0
96.5	0
97.5	0
98.5	0
99.5	0
