sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.01,0,1,[0.48975616 1.        ],[1.],"[1.0, 0.4897561593198209, 0.0]",,,,,,,
0.01,0,2,[0.25190076 0.48975616 1.        ],[1.],"[1.0, 0.4897561593198209, 0.2519007567027096]",,,,,,,
0.01,1,0,[1.],[-0.48975616  1.        ],"[1.0, 0.4897561593198209, 0.2398610955917018]",2.0418324118451348,-2.0418324118451348,[1],,,0.0,[]
0.01,1,1,[-0.02458297  1.        ],[-0.51433913  1.        ],"[1.0, 0.4897561593198209, 0.2519007567027096]",1.9442425093538942,-1.851316941218892,[1],,,0.04779525583250577,[0.04779526]
0.01,2,0,[1.],[-0.01203966 -0.48975616  1.        ],"[1.0, 0.4897561593198209, 0.2519007567027096]",1.9484994729004181,-1.8633261244893675,[1],-42.627066319938876,1.8633261244893675,0.04180151370706092,[]
2.05061224489796,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
2.05061224489796,0,1,[0.0781647 1.       ],[1.],"[1.0, 0.0781646992178154, 0.0]",,,,,,,
2.05061224489796,0,2,[0.0076411 0.0781647 1.       ],[1.],"[1.0, 0.0781646992178154, 0.0076410972685778]",,,,,,,
2.05061224489796,1,0,[1.],[-0.0781647  1.       ],"[1.0, 0.0781646992178154, 0.006109720203811551]",12.79349898364451,-12.79349898364451,[1],,,0.0,[]
2.05061224489796,1,1,[-0.01959167  1.        ],[-0.09775637  1.        ],"[1.0, 0.0781646992178154, 0.0076410972685778]",10.229512394672579,-8.179382666660445,[1],,,0.2004132405255034,[0.20041324]
2.05061224489796,2,0,[1.],[-0.00153138 -0.0781647   1.        ],"[1.0, 0.0781646992178154, 0.0076410972685778]",10.59447359606475,-9.040531389340336,[1],-61.63657225107271,9.040531389340336,0.12516129710308793,[]
4.09122448979592,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
4.09122448979592,0,1,[0.04035868 1.        ],[1.],"[1.0, 0.0403586834411171, 0.0]",,,,,,,
4.09122448979592,0,2,[0.00222671 0.04035868 1.        ],[1.],"[1.0, 0.0403586834411171, 0.0022267149832588]",,,,,,,
4.09122448979592,1,0,[1.],[-0.04035868  1.        ],"[1.0, 0.0403586834411171, 0.0016288233291002997]",24.777815199521797,-24.777815199521797,[1],,,0.0,[]
4.09122448979592,1,1,[-0.01481445  1.        ],[-0.05517313  1.        ],"[1.0, 0.0403586834411171, 0.0022267149832588]",18.12476394354347,-13.258112765951756,[1],,,0.2685083895575559,[0.26850839]
4.09122448979592,2,0,[1.],[-5.97891654e-04 -4.03586834e-02  1.00000000e+00],"[1.0, 0.0403586834411171, 0.0022267149832588]",19.27427935656218,-15.77124254894938,[1],-86.77594652386813,15.77124254894938,0.1487148416518336,[]
6.13183673469388,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
6.13183673469388,0,1,[0.02452025 1.        ],[1.],"[1.0, 0.0245202512866108, 0.0]",,,,,,,
