,sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error
0,0.01,,,0_0,,,,0.2495516646947204,1.0
1,0.01,,,0_1,,,,0.1438895022462756,1.0
2,0.01,,,0_2,,,,0.0670267930761785,1.0
3,0.01,,,0_3,,,,,
4,0.01,-4.0071862522869255,4.0071862522869255,1_0,,,0.0,0.0816134688943694,0.567195435527208
5,0.01,-0.7506252913905976,1.7343285006824027,1_1,,,0.567195435527208,-0.0159387478750654,0.2377966652372949
6,0.01,-1.4235447312834888,2.146746034570676,1_2,,,0.20948916985642382,,
7,0.01,-1.6038953256907986,2.290862184018293,2_0,(-5.3485886607314646+0j),(1.6038953256907986+0j),0.2099490340713537,0.0107521512344251,0.1604157194601995
8,0.01,-1.2459496323356536,2.073233729717012,2_1,(-9.896893560521342+0j),(3.949165276803035+0j),0.32991840279122026,,
9,0.01,-1.3490647197903682,2.122293156454367,3_0,(-4.856362396670468+4.498717308014202j),(0.6745323598951841-1.0463713714038212j),0.1365628895514036,,
10,0.11009009009009,,,0_0,,,,0.2451330591514119,1.0
11,0.11009009009009,,,0_1,,,,0.1395017897013484,1.0
12,0.11009009009009,,,0_2,,,,0.0641967021132027,1.0
13,0.11009009009009,,,0_3,,,,,
14,0.11009009009009,-4.07941712742355,4.07941712742355,1_0,,,0.0,0.0794115730124188,0.5692512847500136
15,0.11009009009009,-0.7569132304382828,1.7572036866064844,1_1,,,0.5692512847500136,-0.015191812015603,0.2366447421055089
16,0.11009009009009,-1.4314657539336308,2.1730366998503254,1_2,,,0.2152035404341976,,
17,0.11009009009009,-1.6270673077642557,2.326296099866952,2_0,(-5.413164296182327+0j),(1.6270673077642557+0j),0.2102300708967793,0.0105337998220543,0.1640863077900686
18,0.11009009009009,-1.2553544612111247,2.0997423723348376,2_1,(-10.155617227662315+0j),(4.083967885785138+0j),0.33323933520368404,,
19,0.11009009009009,-1.3639570456027341,2.151630563777876,3_0,(-4.8451850418001285+4.5437180393324255j),(0.681978522801367-1.0501703516151075j),0.13711560262170217,,
20,0.2101801801801801,,,0_0,,,,0.2408364464781476,1.0
21,0.2101801801801801,,,0_1,,,,0.1352848205087132,1.0
22,0.2101801801801801,,,0_2,,,,0.0615082591280358,1.0
23,0.2101801801801801,,,0_3,,,,,
24,0.2101801801801801,-4.152195461373973,4.152195461373973,1_0,,,0.0,0.0772826265564915,0.5712586694197083
25,0.2101801801801801,-0.763252951269724,1.7802178069389254,1_1,,,0.5712586694197082,-0.0144851502072717,0.2354992713599547
26,0.2101801801801801,-1.4394479750337676,2.199457803335059,1_2,,,0.22079794807896558,,
27,0.2101801801801801,-1.650397152951357,2.361968872683276,2_0,(-5.478276601977421+0j),(1.650397152951357+0j),0.21050324996651734,0.0103142705399201,0.1676891963150821
28,0.2101801801801801,-1.2647889808158814,2.1263781082013504,2_1,(-10.418283415433493+0j),(4.2213939666406075+0j),0.33650919625748893,,
29,0.2101801801801801,-1.3789738966859653,2.1811590979084494,3_0,(-4.836972774601084+4.5884569364001j),(0.6894869483429824-1.05458335883209j),0.1376487061774496,,
30,0.3102702702702702,,,0_0,,,,0.2366575618596161,1.0
31,0.3102702702702702,,,0_1,,,,0.131230741351349,1.0
32,0.3102702702702702,,,0_2,,,,0.0589533773790105,1.0
33,0.3102702702702702,,,0_3,,,,,
34,0.3102702702702702,-4.2255146725173915,4.2255146725173915,1_0,,,0.0,0.0752239397660109,0.5732188890452968
35,0.3102702702702702,-0.7696441864628701,1.8033698462923708,1_1,,,0.5732188890452969,-0.0138163551421094,0.2343607059742182
36,0.3102702702702702,-1.4474922852927317,2.2260088766020685,1_2,,,0.22627486741041772,,
37,0.3102702702702702,-1.673883267412499,2.397878013503501,2_0,(-5.543918523954763+0j),(1.673883267412499+0j),0.21076884298375867,0.0100943159112715,0.1712254048886013
38,0.3102702702702702,-1.2742543016083554,2.1531403196881294,2_1,(-10.684885381658052+0j),(4.3614418813560825+0j),0.3397283961581995,,
39,0.3102702702702702,-1.394113622513197,2.210876912198149,3_0,(-4.83149282309258+4.6330319374971465j),(0.6970568112565985-1.059550604786815j),0.13816309602531068,,
40,0.4103603603603603,,,0_0,,,,0.2325923153286918,1.0
41,0.4103603603603603,,,0_1,,,,0.1273321130557048,1.0
42,0.4103603603603603,,,0_2,,,,0.0565245007791617,1.0
43,0.4103603603603603,,,0_3,,,,,
44,0.4103603603603603,-4.299368182421818,4.299368182421818,1_0,,,0.0,0.0732329279057432,0.5751332177587088
45,0.4103603603603603,-0.776086614886547,1.8266587253361464,1_1,,,0.5751332177587088,-0.0131831634328671,0.2332291882483494
46,0.4103603603603603,-1.4555984304359104,2.25268885705306,1_2,,,0.23163723042547157,,
47,0.4103603603603603,-1.6975240218372256,2.434020996142097,2_0,(-5.610082939589958+0j),(1.6975240218372256+0j),0.21102711195672064,0.0098746135279446,0.1746961652350417
48,0.4103603603603603,-1.2837508823670456,2.1800279795493616,2_1,(-10.955427580003272+0j),(4.5041159663584445+0j),0.3428975832576183,,
49,0.4103603603603603,-1.409374287286252,2.24078190912804,3_0,(-4.828532427569392+4.677523366617009j),(0.7046871436431259-1.0650197844004927j),0.13865964631344652,,
