sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,pole,residue,multiplicity_pole,poles_all
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]",0.0,,,[],[]
0.01,0,1,[0.49910333 1.        ],[1.],"[1.0, 0.4991033293894408, 0.0, 0.0]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.21583425336941342, 0.0893690574349048]",0.0,,,[],[]
0.01,0,2,[0.21583425 0.49910333 1.        ],[1.],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0893690574349048]",0.0,,,[],[]
0.01,0,3,[0.08936906 0.21583425 0.49910333 1.        ],[1.],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.01,1,0,[1.],[-0.49910333  1.        ],"[1.0, 0.4991033293894408, 0.24910413340762463, 0.12432870234841688]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, -0.033269880038211214, -0.034959644913512083]",0.0,(2.0035931261434627+0j),(-2.0035931261434627+0j),[1],[array([2.00359313])]
0.01,1,1,[0.0666593 1.       ],[-0.43244403  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.09333623357014958]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, -0.00396717613524479]",0.0,(2.31243800090987+0j),(-2.668889924944348+0j),[1],[array([2.312438])]
0.01,1,2,[0.00917385 0.08503996 1.        ],[-0.41406337  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4150892888920104+0j),(-3.0403245383954975+0j),[1],[array([2.41508929])]
0.01,2,0,[1.],[ 0.03326988 -0.49910333  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.09111848655749986]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, -0.0017494291225950698]",0.0,(2.3817259079869855+0j),(-2.9357896514268713+0j),[1],"[array([ 2.38172591, 12.61993111])]"
0.01,2,1,[-0.05258297  1.        ],[ 0.05951422 -0.5516863   1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.08936905743490477]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 2.7755575615628914e-17]",2.7755575615628914e-17,(2.4716503797387137+0j),(-3.37890606847673+0j),[1],"[array([2.47165038, 6.79817353])]"
0.01,3,0,[1.],[ 0.00174943  0.03326988 -0.49910333  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4586350994768753+0j),(-3.2918447000856776+0j),[1],"[array([  2.4586351 ,   7.91128695, -29.3874859 ])]"
0.11009009009009,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]",0.0,,,[],[]
0.11009009009009,0,1,[0.49026612 1.        ],[1.],"[1.0, 0.4902661183028238, 0.0, 0.0]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.20925268455202262, 0.0855956028176036]",0.0,,,[],[]
0.11009009009009,0,2,[0.20925268 0.49026612 1.        ],[1.],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0855956028176036]",0.0,,,[],[]
0.11009009009009,0,3,[0.0855956  0.20925268 0.49026612 1.        ],[1.],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.11009009009009,1,0,[1.],[-0.49026612  1.        ],"[1.0, 0.4902661183028238, 0.2403608667557184, 0.11784078913622831]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, -0.031108182203695794, -0.032245186318624705]",0.0,(2.039708563711775+0j),(-2.039708563711775+0j),[1],[array([2.03970856])]
0.11009009009009,1,1,[0.06345163 1.        ],[-0.42681449  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.08931207839490647]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, -0.003716475577302869]",0.0,(2.3429382488086454+0j),(-2.6912470415583383+0j),[1],[array([2.34293825])]
0.11009009009009,1,2,[0.00870747 0.08121233 1.        ],[-0.40905379  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.444666287331616+0j),(-3.0572418006375504+0j),[1],[array([2.44466629])]
0.11009009009009,2,0,[1.],[ 0.03110818 -0.49026612  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.08733821366330247]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, -0.0017426108456988637]",0.0,(2.407467969081345+0j),(-2.9370109784115543+0j),[1],"[array([ 2.40746797, 13.35256954])]"
0.11009009009009,2,1,[-0.05601777  1.        ],[ 0.05857179 -0.54628388  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.08559560281760359]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 1.3877787807814457e-17]",1.3877787807814457e-17,(2.501436827180603+0j),(-3.39527227740634+0j),[1],"[array([2.50143683, 6.82530292])]"
0.11009009009009,3,0,[1.],[ 0.00174261  0.03110818 -0.49026612  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4867469279836465+0j),(-3.2979211589639728+0j),[1],"[array([  2.48674693,   8.11133616, -28.44956282])]"
0.2101801801801801,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]",0.0,,,[],[]
0.2101801801801801,0,1,[0.48167289 1.        ],[1.],"[1.0, 0.4816728929562952, 0.0, 0.0]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.20292723076306982, 0.0820110121707144]",0.0,,,[],[]
0.2101801801801801,0,2,[0.20292723 0.48167289 1.        ],[1.],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.0]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 0.0820110121707144]",0.0,,,[],[]
0.2101801801801801,0,3,[0.08201101 0.20292723 0.48167289 1.        ],[1.],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.2101801801801801,1,0,[1.],[-0.48167289  1.        ],"[1.0, 0.4816728929562952, 0.2320087758088866, 0.11175233823511492]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, -0.02908154504581678, -0.029741326064400525]",0.0,(2.0760977306869863+0j),(-2.0760977306869863+0j),[1],[array([2.07609773])]
0.2101801801801801,1,1,[0.06037613 1.        ],[-0.42129676  1.        ],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.08549258550222096]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, -0.00348157333150656]",0.0,(2.373623742585234+0j),(-2.7137882711812407+0j),[1],[array([2.37362374])]
0.2101801801801801,1,2,[0.00826395 0.07753289 1.        ],[-0.40414001  1.        ],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4743900287519414+0j),(-3.074289766991065+0j),[1],[array([2.47439003])]
