s	width	allele counts	se_f	f	n	f_per_kb
-0.05	0.1	2	0.09999999999999996	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.1	3	0.09999999999999998	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.1	4	0	0	100	0
-0.05	0.1	5	0	0	100	0
-0.05	0.1	6	0	0	100	0
-0.05	0.1	7	0	0	100	0
-0.05	0.1	8	0	0	100	0
-0.05	0.1	9	0	0	100	0
-0.05	0.1	10	0	0	100	0
-0.05	0.1	20	0	0	100	0
-0.05	0.1	50	0.0033333333333333327	3.333333333333334e-4	100	3.333333333333334e-9
-0.05	0.1	80	0.004690176471209652	6.666666666666666e-4	100	6.666666666666666e-9
-0.05	0.1	100	0.004999999999999993	4.999999999999997e-4	100	4.999999999999997e-9
-0.05	0.1	200	9.99999999999998e-4	9.999999999999994e-5	100	9.999999999999994e-10
-0.05	0.1	500	3.3333333333333354e-4	3.333333333333338e-5	100	3.3333333333333384e-10
-0.05	0.1	800	3.3333333333333343e-4	3.3333333333333315e-5	100	3.3333333333333316e-10
-0.05	0.1	1000	9.847319278346632e-4	2.0000000000000004e-4	100	2.0000000000000005e-9
-0.05	0.2	2	0.24287836253956196	0.03999999999999998	100	3.999999999999998e-7
-0.05	0.2	3	0	0	100	0
-0.05	0.2	4	0	0	100	0
-0.05	0.2	5	0.17144660799776534	0.029999999999999978	100	2.999999999999998e-7
-0.05	0.2	6	0	0	100	0
-0.05	0.2	7	0	0	100	0
-0.05	0.2	8	0	0	100	0
-0.05	0.2	9	0.09999999999999999	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.2	10	0.09999999999999998	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.2	20	0.021904291355759015	0.004999999999999999	100	5e-8
-0.05	0.2	50	0.004690176471209652	6.666666666666669e-4	100	6.6666666666666685e-9
-0.05	0.2	80	0.006564879518897737	0.0013333333333333337	100	1.3333333333333337e-8
-0.05	0.2	100	0.008572330399888249	0.0014999999999999994	100	1.4999999999999992e-8
-0.05	0.2	200	0.0017144660799776545	3.000000000000001e-4	100	3.000000000000001e-9
-0.05	0.2	500	7.301430451919668e-4	1.6666666666666666e-4	100	1.6666666666666665e-9
-0.05	0.2	800	6.56487951889775e-4	1.3333333333333329e-4	100	1.3333333333333329e-9
-0.05	0.2	1000	4.999999999999991e-4	4.999999999999999e-5	100	4.999999999999999e-10
-0.05	0.30000000000000004	2	0.19694638556693214	0.039999999999999994	100	4e-7
-0.05	0.30000000000000004	3	0.23868325657594192	0.05999999999999998	100	5.999999999999998e-7
-0.05	0.30000000000000004	4	0.21904291355759045	0.04999999999999999	100	5e-7
-0.05	0.30000000000000004	5	0.14070529413628957	0.019999999999999993	100	1.9999999999999994e-7
-0.05	0.30000000000000004	6	0.09999999999999996	0.009999999999999993	100	9.999999999999994e-8
-0.05	0.30000000000000004	7	0.17144660799776534	0.029999999999999985	100	2.9999999999999983e-7
-0.05	0.30000000000000004	8	0.14070529413628963	0.01999999999999999	100	1.999999999999999e-7
-0.05	0.30000000000000004	9	0.1714466079977654	0.029999999999999978	100	2.999999999999998e-7
-0.05	0.30000000000000004	10	0.09999999999999999	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.30000000000000004	20	0.024287836253956235	0.0039999999999999975	100	3.9999999999999974e-8
-0.05	0.30000000000000004	50	0.007956108552531392	0.001999999999999999	100	1.9999999999999994e-8
-0.05	0.30000000000000004	80	0.010249414863810763	0.0026666666666666666	100	2.6666666666666664e-8
-0.05	0.30000000000000004	100	0.01095214567787951	0.0024999999999999996	100	2.5e-8
-0.05	0.30000000000000004	200	0.00256432399976243	7.000000000000004e-4	100	7.000000000000004e-9
-0.05	0.30000000000000004	500	7.956108552531403e-4	2.0000000000000004e-4	100	2.0000000000000005e-9
-0.05	0.30000000000000004	800	6.564879518897753e-4	1.3333333333333329e-4	100	1.3333333333333329e-9
-0.05	0.30000000000000004	1000	0	0	100	0
-0.05	0.4	2	0.383497988352882	0.11999999999999994	100	1.1999999999999993e-6
-0.05	0.4	3	0.25643239997624295	0.06999999999999998	100	6.999999999999998e-7
-0.05	0.4	4	0.256432399976243	0.06999999999999998	100	6.999999999999998e-7
-0.05	0.4	5	0	0	100	0
-0.05	0.4	6	0.09999999999999998	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.4	7	0.1714466079977653	0.02999999999999998	100	2.999999999999998e-7
-0.05	0.4	8	0.19694638556693236	0.03999999999999999	100	3.999999999999999e-7
-0.05	0.4	9	0.09999999999999998	0.009999999999999995	100	9.999999999999996e-8
-0.05	0.4	10	0.14070529413628957	0.01999999999999999	100	1.999999999999999e-7
-0.05	0.4	20	0.03732196796699355	0.010999999999999998	100	1.0999999999999998e-7
-0.05	0.4	50	0.013163906713248416	0.005333333333333334	100	5.333333333333334e-8
-0.05	0.4	80	0.005714886933258844	9.999999999999994e-4	100	9.999999999999994e-9
-0.05	0.4	100	0.015723301886761	0.0055	100	5.4999999999999996e-8
-0.05	0.4	200	0.003379976689896311	0.0013000000000000006	100	1.3000000000000006e-8
-0.05	0.4	500	9.088664144809682e-4	2.6666666666666657e-4	100	2.6666666666666657e-9
-0.05	0.4	800	3.3333333333333343e-4	3.3333333333333315e-5	100	3.3333333333333316e-10
-0.05	0.4	1000	0	0	100	0
-0.05	0.5	2	0.4277023415055067	0.17000000000000004	100	1.7000000000000002e-6
-0.05	0.5	3	0.41971611377407986	0.16	100	1.6000000000000001e-6
-0.05	0.5	4	0.30748244591432305	0.07999999999999999	100	8e-7
-0.05	0.5	5	0.25643239997624295	0.06999999999999997	100	6.999999999999997e-7
-0.05	0.5	6	0.23868325657594167	0.059999999999999956	100	5.999999999999995e-7
-0.05	0.5	7	0.1969463855669323	0.039999999999999994	100	4e-7
-0.05	0.5	8	0.21904291355759042	0.04999999999999999	100	5e-7
-0.05	0.5	9	0	0	100	0
-0.05	0.5	10	0.17144660799776545	0.029999999999999978	100	2.999999999999998e-7
-0.05	0.5	20	0.04089898865164365	0.012	100	1.2e-7
-0.05	0.5	50	0.01732698666505904	0.008333333333333335	100	8.333333333333335e-8
-0.05	0.5	80	0.010886621079036356	0.003999999999999999	100	3.9999999999999994e-8
-0.05	0.5	100	0.008572330399888247	0.0014999999999999996	100	1.4999999999999995e-8
-0.05	0.5	200	0.003684529491774703	0.0016000000000000005	100	1.6000000000000008e-8
-0.05	0.5	500	8.547746665874765e-4	2.3333333333333333e-4	100	2.3333333333333335e-9
-0.05	0.5	800	3.3333333333333343e-4	3.3333333333333315e-5	100	3.3333333333333316e-10
-0.05	0.5	1000	0	0	100	0
-0.05	0.6000000000000001	2	0.5096047190685836	0.27000000000000013	100	2.7000000000000013e-6
-0.05	0.6000000000000001	3	0.4507009131689365	0.17000000000000004	100	1.7000000000000002e-6
-0.05	0.6000000000000001	4	0.30748244591432294	0.07999999999999999	100	8e-7
-0.05	0.6000000000000001	5	0.28762349126466125	0.09000000000000001	100	9.000000000000001e-7
-0.05	0.6000000000000001	6	0.27265992434429104	0.07999999999999996	100	7.999999999999996e-7
-0.05	0.6000000000000001	7	0.30151134457776335	0.09999999999999998	100	1e-6
-0.05	0.6000000000000001	8	0.2876234912646613	0.09000000000000001	100	9.000000000000001e-7
-0.05	0.6000000000000001	9	0.17144660799776534	0.029999999999999985	100	2.9999999999999983e-7
-0.05	0.6000000000000001	10	0.14070529413628957	0.019999999999999993	100	1.9999999999999994e-7
-0.05	0.6000000000000001	20	0.045604802157206845	0.020999999999999998	100	2.0999999999999997e-7
-0.05	0.6000000000000001	50	0.01680414678125657	0.007333333333333334	100	7.333333333333334e-8
-0.05	0.6000000000000001	80	0.0159227935217208	0.006999999999999998	100	6.999999999999998e-8
-0.05	0.6000000000000001	100	0.010952145677879513	0.0024999999999999996	100	2.5e-8
-0.05	0.6000000000000001	200	0.003487350880197772	0.0014000000000000006	100	1.4000000000000006e-8
-0.05	0.6000000000000001	500	0.0010694198475460763	3.000000000000001e-4	100	3.000000000000001e-9
-0.05	0.6000000000000001	800	0	0	100	0
-0.05	0.6000000000000001	1000	0	0	100	0
-0.05	0.7000000000000001	2	0.6116710015534611	0.36000000000000004	100	3.6000000000000003e-6
-0.05	0.7000000000000001	3	0.37321967966993574	0.10999999999999999	100	1.0999999999999998e-6
