s	width	allele counts	se_f	f	n	f_per_kb
-0.1	0.0	2	2.6686071273231655	45.7792	100	4.5779200000000005e-4
-0.1	0.0	3	0.8052422372218563	8.1997	100	8.199700000000001e-5
-0.1	0.0	4	0.2732306532931287	1.3434	100	1.3434e-5
-0.1	0.0	5	0.12145061764047364	0.4555	100	4.5550000000000004e-6
-0.1	0.0	6	0.04750332258448514	0.094	100	9.400000000000001e-7
-0.1	0.0	7	0.035106044257853145	0.0433	100	4.33e-7
-0.1	0.0	8	0.011372481406154652	0.0086	100	8.6e-8
-0.1	0.0	9	0.008012616314414427	0.0038000000000000013	100	3.800000000000001e-8
-0.1	0.0	10	0.0031446603773522003	0.0010999999999999996	100	1.0999999999999996e-8
-0.1	0.0	20	3.2582451743479396e-4	7.000000000000002e-5	100	7.000000000000003e-10
-0.1	0.0	50	0	0	100	0
-0.1	0.0	80	0	0	100	0
-0.1	0.0	100	0	0	100	0
-0.1	0.0	200	0	0	100	0
-0.1	0.0	500	0	0	100	0
-0.1	0.0	800	0	0	100	0
-0.1	0.0	1000	0	0	100	0
-0.1	0.1	2	0.0971785818361063	0.022600000000000012	100	2.2600000000000012e-7
-0.1	0.1	3	0.07688867723448412	0.017500000000000005	100	1.7500000000000005e-7
-0.1	0.1	4	0.03617172845460856	0.0063	100	6.300000000000001e-8
-0.1	0.1	5	0.025193393394044205	0.004200000000000001	100	4.2000000000000006e-8
-0.1	0.1	6	0.006305360874492097	7.999999999999996e-4	100	7.999999999999997e-9
-0.1	0.1	7	0.008721852272923866	0.0013	100	1.2999999999999999e-8
-0.1	0.1	8	0.0019999999999999983	1.9999999999999996e-4	100	1.9999999999999997e-9
-0.1	0.1	9	9.999999999999992e-4	9.999999999999998e-5	100	9.999999999999999e-10
-0.1	0.1	10	0	0	100	0
-0.1	0.1	20	8e-4	7.99999999999999e-5	100	7.99999999999999e-10
-0.1	0.1	50	0.004245204596376405	6.033333333333329e-4	100	6.0333333333333295e-9
-0.1	0.1	80	0.002425213610178374	3.733333333333338e-4	100	3.733333333333338e-9
-0.1	0.1	100	0.003373586497866311	4.850000000000001e-4	100	4.8500000000000004e-9
-0.1	0.1	200	9.804121994386279e-4	1.0200000000000024e-4	100	1.0200000000000025e-9
-0.1	0.1	500	9.666666666666678e-5	9.666666666666675e-6	100	9.666666666666676e-11
-0.1	0.1	800	2.523505658420599e-4	3.266666666666658e-5	100	3.266666666666658e-10
-0.1	0.1	1000	0.0010431560261770514	2.3650000000000006e-4	100	2.3650000000000004e-9
-0.1	0.2	2	0.09278948695239614	0.03389999999999999	100	3.389999999999999e-7
-0.1	0.2	3	0.07210710328001216	0.018400000000000007	100	1.8400000000000006e-7
-0.1	0.2	4	0.037590429686828554	0.009700000000000004	100	9.700000000000003e-8
-0.1	0.2	5	0.035523644139210935	0.008699999999999998	100	8.699999999999997e-8
-0.1	0.2	6	0.029962097268503615	0.0065	100	6.5e-8
-0.1	0.2	7	0.029908277290827887	0.006199999999999999	100	6.2e-8
-0.1	0.2	8	0.02333311688211293	0.005100000000000002	100	5.1000000000000027e-8
-0.1	0.2	9	0.01809598426349467	0.0040999999999999995	100	4.0999999999999997e-8
-0.1	0.2	10	0.01982218938258817	0.004899999999999999	100	4.8999999999999995e-8
-0.1	0.2	20	0.015791504556615717	0.0038899999999999968	100	3.889999999999997e-8
-0.1	0.2	50	0.006469657227895812	0.0010566666666666665	100	1.0566666666666665e-8
-0.1	0.2	80	0.005935579153525513	0.0013433333333333329	100	1.343333333333333e-8
-0.1	0.2	100	0.007421855522302998	0.0013699999999999982	100	1.3699999999999982e-8
-0.1	0.2	200	0.001716341834521694	3.2300000000000004e-4	100	3.2300000000000006e-9
-0.1	0.2	500	7.214808938112507e-4	1.646666666666667e-4	100	1.6466666666666668e-9
-0.1	0.2	800	6.563498013471145e-4	1.3466666666666678e-4	100	1.3466666666666678e-9
-0.1	0.2	1000	4.999999999999995e-4	4.999999999999998e-5	100	4.999999999999998e-10
-0.1	0.30000000000000004	2	0.14850092677328738	0.06799999999999999	100	6.8e-7
-0.1	0.30000000000000004	3	0.1086063692162824	0.048100000000000004	100	4.81e-7
-0.1	0.30000000000000004	4	0.07430343195303973	0.033900000000000007	100	3.3900000000000006e-7
-0.1	0.30000000000000004	5	0.06745136669250563	0.030900000000000004	100	3.0900000000000003e-7
-0.1	0.30000000000000004	6	0.04521151189775462	0.019400000000000004	100	1.9400000000000002e-7
-0.1	0.30000000000000004	7	0.05101188215712221	0.0209	100	2.0899999999999998e-7
-0.1	0.30000000000000004	8	0.037578201289061364	0.013999999999999999	100	1.3999999999999998e-7
-0.1	0.30000000000000004	9	0.03847549397166503	0.013799999999999996	100	1.3799999999999997e-7
-0.1	0.30000000000000004	10	0.02922155009404855	0.009200000000000003	100	9.200000000000003e-8
-0.1	0.30000000000000004	20	0.01692159877347599	0.0057699999999999965	100	5.769999999999997e-8
-0.1	0.30000000000000004	50	0.007868344282683732	0.002373333333333334	100	2.373333333333334e-8
-0.1	0.30000000000000004	80	0.008593758991424734	0.002283333333333334	100	2.283333333333334e-8
-0.1	0.30000000000000004	100	0.0066543370834518155	0.001739999999999999	100	1.739999999999999e-8
-0.1	0.30000000000000004	200	0.002939597993542041	9.240000000000002e-4	100	9.240000000000002e-9
-0.1	0.30000000000000004	500	8.162741446577929e-4	2.3133333333333342e-4	100	2.3133333333333344e-9
-0.1	0.30000000000000004	800	5.358546254102073e-4	1.0300000000000002e-4	100	1.0300000000000002e-9
-0.1	0.30000000000000004	1000	0	0	100	0
-0.1	0.4	2	0.20904252624233619	0.15109999999999998	100	1.5109999999999998e-6
-0.1	0.4	3	0.12429400629153449	0.0743	100	7.43e-7
-0.1	0.4	4	0.07363100741213072	0.0387	100	3.87e-7
-0.1	0.4	5	0.05992419453700725	0.029	100	2.9000000000000003e-7
-0.1	0.4	6	0.0538220036862999	0.0204	100	2.0400000000000003e-7
-0.1	0.4	7	0.06234022000525048	0.021599999999999994	100	2.1599999999999995e-7
-0.1	0.4	8	0.057770007247478626	0.018	100	1.8e-7
-0.1	0.4	9	0.03801581276524307	0.0135	100	1.35e-7
-0.1	0.4	10	0.03818231120412812	0.013700000000000002	100	1.3700000000000002e-7
